# key	english	bulgarian	french	russian
Tips/tipDefault1Port	You can move items from and into boxes by press <sprite index=Button2_UIAtlas> on them	Можеш да преместваш предмети в и от кутии, като натиснеш <sprite index=Button2_UIAtlas> върху тях	Vous pouvez déplacer des éléments vers et depuis des boîtes en appuyant sur <sprite index=Button2_UIAtlas>	Можешь перемещать предметы из коробок и обратно, нажав <sprite index=Button2_UIAtlas>
Tips/tipDefault2	You can move items from and into boxes with Shift + LMB	Можеш да местиш предмети от и в кутии с Shift + LMB.	Vous pouvez déplacer des objets depuis et dans des boîtes avec Maj + clic gauche	вы можете перемещать предметы с помощью комбинации клавиш Shift+ЛКМ
Tips/tipDefault2Port	You can move items from and into boxes with <sprite index=Button8_UIAtlas> while holding <sprite index=Button0_UIAtlas>	Можеш да преместваш предмети в и от кутии с <sprite index=Button8_UIAtlas> докато държиш <sprite index=Button0_UIAtlas>	Vous pouvez déplacer des objets vers et depuis des boîtes avec <sprite index=Button8_UIAtlas> en maintenant <sprite index=Button0_UIAtlas> enfoncé	Ты можешь перемещать предметы в коробки и из них с помощью <sprite index=Button8_UIAtlas>, удерживая <sprite index=Button0_UIAtlas>
Tips/tipDefault3	Hold Shift to place items more precisely	Дръж Shift, за да поставиш предметите по-точно.	Maintenez Maj pour placer les objets plus précisément	зажмите Shift, чтобы точнее разместить предмет
Tips/tipDefault3Port	Hold <sprite index=Button26_UIAtlas> to place items more precisely	Дръж <sprite index=Button26_UIAtlas> за по-прецизно поставяне на предмети	Maintenez <sprite index=Button26_UIAtlas> enfoncée pour placer les objets avec plus de précision	Удерживай <sprite index=Button26_UIAtlas>, чтобы размещать предметы более точно
Tips/tipDefault4	Inspecting items and reading their descriptions can give useful tips	Преглеждането на предмети и четенето на техните описания може да даде полезни съвети.	Inspecter les objets et lire leurs descriptions peut vous donner des conseils utiles	осматривая предметы и читая их описания, вы можете узнать полезную информацию
Tips/tipDefault5	Plants can wilt if you don't take care of them	Растенията увяхват, ако не се грижиш за тях.	Les plantes peuvent mourir si vous ne vous en occupez pas	если не ухаживать за растениями, они могут завянуть
Tips/tipDefault6	Crafting and cooking increases your Preparedness 	Изработката и готвенето увеличават твоята Готовност.	Fabriquer et cuisiner augmente votre Préparation	создание предметов и готовка пищи увеличивает вашу живучесть
Tips/tipDefault7	Planting, watering and harvesting plants increases your Preparedness 	Засаждането, поливането и прибирането на растения увеличава твоята Готовност.	Planter, arroser et récolter des plantes augmente votre préparation	сажая, поливая и собирая растения, вы увеличиваете свою живучесть
Tips/tipDefault8	Trading increases your Preparedness 	Търговията увеличава твоята Готовност.	Échanger augmente votre Préparation	торговля увеличивает вашу живучесть
Tips/tipDefault9	Go to sleep early to regenerate more stamina	Легни си по-рано, за да възстановиш повече издръжливост.	Couchez-vous de bonne heure pour régénérer plus d'endurance	ложитесь спать пораньше, чтобы восстановить больше выносливости
Tips/tipDefault10	Reading news increases your Preparedness 	Четенето на новини увеличава твоята Готовност.	Lire les nouvelles augmente votre préparation	чтение новостей увеличивает вашу живучесть
Tips/tipDefault11	Keep your stamina and health over 50% to avoid losing Preparedness 	Поддържай енергията и здравето си над 50%, за да не загубиш Подготвеност.	Gardez votre endurance et votre santé au dessus de 50% pour éviter de perdre votre Préparation	если выносливость и здоровье упадут ниже 50%, живучесть начнет снижаться
Tips/tipDefault12	You craft faster while your stamina and health are over 50%	Изработваш по-бързо, когато издръжливостта и здравето ти са над 50%.	Vous fabriquez plus vite quand votre endurance et votre santé sont au dessus de 50%	когда выносливость и здоровье выше 50%, вы создаете предметы быстрее
Tips/tipDefault13	Disassembling items gives you their blueprints	Разглобяването на предмети ти дава техните чертежи	Démonter des objets vous donne leurs plans de fabrication	разбирая предметы, вы получаете их чертежи
Tips/tipDefault14	Your stamina decreases faster while you work	Твоята издръжливост намалява по-бързо, докато работиш.	Votre endurance diminue plus rapidement quand vous travaillez	выносливость снижается быстрее, когда вы работаете
Tips/tipDefault15	Your Preparedness decreases slower while you work	Твоята готовност намалява по-бавно, докато работиш.	Votre Préparation diminue plus lentement quand vous travaillez	живучесть снижается медленнее, когда вы работаете
Tips/tipDefault16	While dragging a group of items, click RMB to drop one item	Докато влачиш група предмети, кликни с десния бутон, за да пуснеш един предмет.	Tout en faisant glisser un groupe d'objets, cliquez sur le bouton gauche de la souris pour en déposer un	перетаскивая несколько вещей, нажмите ПКМ, чтобы выбросить один из предметов
Tips/tipDefault16Port	While dragging a group of items, press <sprite index=Button29_UIAtlas> to drop one item	Докато претеглиш група предмети, натисни <sprite index=Button29_UIAtlas> за пускане на един предмет	Tout en faisant glisser un groupe d'éléments, appuyez sur <sprite index=Button29_UIAtlas> pour déplacer un élément	При переносе группы элементов нажми <sprite index=Button29_UIAtlas> , чтобы сбросить один из них
Tips/tipMines1	You can melt stone into glass in a furnace	Можеш да разтопиш камък в стъкло в пещта.	Vous pouvez fondre la pierre dans un fourneau pour la transformer en verre	вы можете переплавлять камни в стекло с помощью печи
Tips/tipDefault17	Some items in locations respawn over time	Някои предмети в локациите се появяват отново с времето	Certains objets dans différents lieux réapparaissent avec le temps	некоторые предметы со временем снова появляются на своих местах
Tips/tipDesert1	You can disassemble grenades	Можеш да разглобиш гранати.	Vous pouvez démonter les grenades	вы можете разбирать гранаты
Tips/tipDesert2	Scavenging the desert is a good source of many materials. The farther you go, the better the loot	Чистенето на пустинята е добър източник на много материали. Колкото по-далеч отиваш, толкова по-добра е плячката.	Piller le désert est une bonne source pour de nombreux matériaux. Plus vous irez loin, meilleur sera votre butin	пустыня – ценный источник ресурсов. Чем дальше вы отправитесь, тем ценнее будут находки
Tips/tipDefault18	Level up traders to unlock new ones	Повиши нивото на търговците, за да отключиш нови.	Augmentez le niveau de confiance des marchands pour en débloquer d'autres	улучшайте уровень доверия торговцев, чтобы на карте появились новые
Tips/tipDefault19	Always read letters	Винаги чети писмата	Lisez toujours votre courrier	всегда читайте письма
Tips/tipMines2	You need a mining helmet to see in the dark	Трябва ти миньорска каска, за да виждаш в тъмното.	Vous avez besoin d'un casque de mineur pour voir dans le noir	чтобы ориентироваться в темноте, вам нужна шахтерская каска
Tips/tipDesert3	Some NPCs appear only at night	Някои NPC-та се появяват само през нощта.	Certains PNJ n'apparaissent que la nuit	некоторые персонажи появляются только ночью
Tips/tipDefault20	Read your journal if you get lost	Прочети дневника си, ако се изгубиш	Lisez votre journal si vous êtes perdu	если вы не знаете, что делать, почитайте блокнот
Tips/tipDefault21	Most items can be used quickly with LMB	Повечето предмети могат да се използват бързо с LMB.	La plupart des objets peuvent être utilisés rapidement avec le clic gauche de la souris	большинство предметов можно быстро использовать с помощью ЛКМ
Tips/tipDefault21Port	Most items can be used quickly with <sprite index=Button0_UIAtlas>	Повечето предмети можеш да ги използваш бързо с <sprite index=Button0_UIAtlas>	La plupart des objets peuvent être utilisés rapidement avec le <sprite index=Button0_UIAtlas>	Большинство предметов можно быстро использовать с помощью <sprite index=Button0_UIAtlas>
Tips/tipDefault22	Double-click on an action in the context menu of an item to run to it and perform the action	Кликни два пъти върху действие в контекстното меню на предмет, за да отидеш до него и да го изпълниш.	Double-cliquez sur une action dans le menu contextuel d'un objet pour courir jusqu'à lui et effectuer cette action	если вы дважды нажмете на действие с предметом, персонаж побежит его выполнять
Tips/tipDefault22Port	Double-press <sprite index=Button0_UIAtlas> on an action in the context menu of an item to run to it and perform the action	Двойно натисни <sprite index=Button0_UIAtlas> върху действие в контекстното меню на предмет, за да дойде до него и да изпълни действието	Appuyez deux fois sur le bouton <sprite index=Button0_UIAtlas> d’une action dans le menu contextuel d’un objet pour vous y rendre et l’exécuter	Дважды нажми кнопку <sprite index=Button0_UIAtlas> в действии контекстного меню предмета, чтобы подбежать и выполнить действие
Tips/tipDefault23	Hold Left Ctrl to speed up time	Дръж натиснат ляв Ctrl, за да ускориш времето.	Maintenez la touche Ctrl gauche pour accélérer le temps	зажмите левый Ctrl, чтобы ускорить время
Tips/tipDefault24	You can destroy rooms in the building mode by clicking the red cross button	Можеш да унищожиш стаи в режим на строителство, като натиснеш червения кръст.	Vous pouvez détruire des pièces en mode construction en cliquant sur la croix rouge	вы можете разрушать комнаты в режиме строительства, нажав на красный крестик
Tips/tipDefault24Port	You can destroy rooms in the building mode by selecting the red cross	Можеш да унищожиш стаи в режим на строителство, като избереш червения кръст.	Vous pouvez détruire des pièces en mode Construction en sélectionnant la croix rouge	С помощью красного крестика, можно удалять комнаты в режиме строительства
Tips/tipForest1	Take a look at a note on the traps sign to get an idea of a kind of loot you can get in this area	Разгледай бележката на табелата с капаните, за да получиш представа за вида плячка, която можеш да намериш в този район.	Jetez un œil à la note sur le panneau des pièges pour avoir une idée du butin que vous pouvez obtenir dans la zone	прочтите записку на предупреждении о ловушках, чтобы узнать, что можно найти в этой области
Tips/tipDefault25				
Tips/tipAgent1	If your suspicion level is high it will take multiple visits to bring it back down	Ако нивото ти на подозрение е високо, ще са нужни няколко посещения, за да го свалиш.	Si votre niveau de suspicion est élevé, plusieurs visites seront nécessaires pour le faire redescendre	высокий уровень подозрительности снижается за несколько визитов Агента.
Tips/tipAgent2	You can get the positive Agent buff only if your suspicion level is at 0 	Можеш да получиш положителния буф на агент само ако нивото ти на подозрение е 0.	Vous pouvez obtenir le bonus d'agent que si votre niveau de suspicion est à 0	вы получаете бонус после отчета Агента только если уровень подозрительности равен нулю.
Tips/tipAgent3	If you were a good citizen for a long time, Agent may turn a blind eye	Ако си бил добър гражданин дълго време, агентът може да си затвори очите.	Si vous êtes un bon citoyen sur une longue période, l'agent pourrait fermer les yeux	если вы долго вели себя как примерный гражданин, Агент может закрыть на что-то глаза.
Tips/tipAgent4	Power of negative agent buff is dependent on your suspicion level	Силата на негативния буф на агента зависи от нивото ти на подозрение	La puissance du malus d'agent dépend de votre niveau de suspicion	серьезность штрафа от отчета Агента зависит от вашего уровня подозрительности.
Tips/tipFaint1	You can reload one of last 30 days after you faint four times	Можеш да се презаредиш един от последните 30 дни, след като припаднеш четири пъти.	Vous pouvez recharger l'un des 30 derniers jours après vous être évanoui quatre fois	если вы упадете в обморок 4 раза, сможете загрузиться в любой из последних 30 дней
Tips/tipFaint2	You can get rid of after-faint debuff by sleeping	Можеш да се отървеш от дебафа след припадък като поспиш.	Vous pouvez vous débarrasser du malus après vous être évanoui en dormant	вы можете снять штраф после обморока, если отправитесь спать
Tips/				
Tips/tipFarm1	Hamsters can help you generate power 	Хамстерите могат да ти помогнат да генерираш енергия.	Les hamsters peuvent vous aider à générer de l'électricité	Хомячки помогут вам вырабатывать электроэнергию
Tips/tipFarm2	Plant flowers in a room with beehive so the bees can produce some honey	Засади цветя в стая с кошери, за да могат пчелите да произведат мед.	Plantez des fleurs dans une pièce où il y a des abeilles, celles-ci pourront produire du miel	Сажайте цветы в комнате с ульем, чтобы пчелы могли производить мед
Tips/tipFarm3	Cows produce more milk than goats 	Кравите дават повече мляко от козите.	Les vaches produisent plus de lait que les chèvres	Коровы дают больше молока, чем козы
Tips/tipFarm4	You can kill animals to get meat - but please don't 	Можеш да убиваш животни, за да получиш месо - но моля те, не го прави.	Vous pouvez tuer des animaux pour avoir de la viande – mais ne le faites pas, s'il vous plaît	Вы можете забивать животных ради мяса... Но мы очень просим вас так не делать
Tips/tipFarm5	You can breed animals - take good care of them and leave extra space in room for the offspring! 	Можеш да развъждаш животни - грижи се добре за тях и остави допълнително място в стаята за потомството!	Vous pouvez élever des animaux – prenez bien soin d'eux et laissez-leur assez de place pour qu'ils puissent se reproduire!	Вы можете разводить животных. Заботьтесь о них и оставляйте в помещении свободное место для их потомства!
Tips/tipFarm6	Breeding and selling animals can be a good business	Отглеждането и продажбата на животни може да бъде добър бизнес.	L'élevage et la vente d'animaux peut être un business qui rapporte	Разведение и продажа животных могут приносить хорошие деньги
Tips/tipFarm7	Different animal variants can breed with each other without any issues	Различни варианти на животни могат да се размножават помежду си без никакви проблеми.	Les différentes races d'une même espèce peuvent se reproduire entre elles sans problèmes	Животные разных пород могут производить общее потомство
Tips/tipFarm8	Animals need enough space to live. Fences and room borders restrict their living space	Животните имат нужда от достатъчно пространство, за да живеят. Оградите и границите на стаите ограничават жизненото им пространство.	les animaux ont besoin de suffisamment de place pour vivre. Les clôtures et les bords d'une pièce restreignent leur espace vital	Животным необходимо достаточно места для жизни. Заборы и границы комнат ограничивают их жизненное пространство
Tips/tipFarm9	If the needs of animals are not satisfied, they won't produce anything and won't be able to breed	Ако нуждите на животните не са задоволени, те няма да произвеждат нищо и няма да могат да се размножават.	Si les besoins des animaux ne sont pas satisfaits, ils ne produiront rien et ne pourront pas se reproduire	Если животные не могут удовлетворить свои потребности, они не смогут производить продукты и размножаться
Tips/tipFarm10	You can buy a book with new cooking recipes from Will 	Можеш да си купиш книга с нови рецепти за готвене от Уил.	Vous pouvez acheter un livre avec de nouvelles recettes à Will	Уилл может продать вам книгу с новыми кулинарными рецептами
Tips/tipFarm11	Will sells different animals on higher trade levels	Уил продава различни животни на по-високи нива на търговия	Will vend différents animaux à des niveaux de commerce supérieurs	Торгуйте с Уиллом почаще, и он начнет продавать новых животных
Tips/tipFarm12	You can fillet fish to eat them. Some fish turn to baits instead of food when filleted 	Можеш да изчистиш риба, за да я ядеш. Някои риби се превръщат в примамки вместо в храна, когато ги изчистиш.	Vous pouves fileter vos poissons pour les manger. Certains poissons, une fois filetés, servent d'appâts et pas de nourriture	Чтобы съесть рыбу, нужно приготовить из нее филе. Филе некоторых рыб превращается не в еду, а в наживку
Tips/tipMaze1	The night maze opens at 6 PM every day 	Нощният лабиринт се отваря в 18:00 всеки ден. 	Le labyrinthe nocturne ouvre tous les jours à 18:00	Ночной лабиринт доступен каждые сутки с 18:00
Tips/tipMaze2	The night maze is harder, but gives better rewards 	Нощният лабиринт е по-труден, но дава по-добри награди	Le labyrinthe nocturne est plus difficile, mais il apporte de meilleures récompenses	Ночной лабиринт сложнее, но награда за его прохождение выше
Tips/tipMaze3	Use the map to avoid Skull rooms	Използвай картата, за да избягваш стаите със черепи.	Utilisez la carte pour éviter les pièces avec une tête de mort	Сверяйтесь с картой, чтобы обходить комнаты с черепом
Tips/tipFishingLakeSign1	Fish have their preferences regarding weather, time of day and other things	Рибите имат предпочитания относно времето, часа на деня и други неща.	Les poissons ont leurs préférences en ce qui concerne la météo, le moment, le jour et autres facteurs	Разная рыба предпочитает разную погоду, время суток и прочее
Tips/tipFishingLakeSign2	You can check the weather forecast on the radio	Можеш да провериш прогнозата за времето по радиото.	Vous pouvez consulter les prévisions météo à la radio	Вы можете послушать прогноз погоды по радио
Tips/tipFishingLakeSign3	If you are hunting for a specific fish, read about its preferences on an info board near the lake	Ако ловиш конкретен вид риба, прочети за предпочитанията му на информационната табела до езерото.	Si vous pêchez une espèce spécifique de poisson, informez-vous sur ses préférences sur le tableau d'information à côté du lac	Если вы хотите поймать конкретную рыбу, почитайте о ее особенностях на доске возле озера
Tips/tipFishingLakeSign4	Not every fish likes the same thing - choose your baits well	Не всяка риба обича едно и също - избери добре примамките си	Les poissons n'aiment pas tous les mêmes choses – choisissez bien vos appâts	Не каждой рыбе нравится одна и та же наживка. Выбирайте ее с умом
Tips/tipAnimalsXeno1	The more Xeno trusts you, the more activities he is willing to do	Колкото повече ти се доверява Ксено, толкова повече дейности е готов да прави.	Plus Xeno vous fait confiance, plus il voudra faire d'activités	Чем больше Ксено вам доверяет, тем больше дел он готов для вас делать
Tips/tipAnimalsXeno2	Activities with Xeno increase his trust level	Дейности с Ксено увеличават нивото му на доверие	Les activités avec Xeno font grimper son niveau de confiance	Занимаясь с Ксено, вы повышаете его уровень доверия к вам
Tips/tipAnimalsXeno3	Remember to meet Xeno's needs, otherwise he will be forced to meet them elsewhere	Помни да задоволиш нуждите на Ксено, иначе ще ги задоволи някъде другаде.	N'oubliez pas de satisfaire aux besoins de Xeno, sinon il faudra qu'il les satisfasse lui-même	Не забывайте следить за потребностями Ксено, иначе он будет вынужден уйти, чтобы удовлетворять их самостоятельно
Tips/tipAnimalsXeno4	Xeno is very fond of rat meat treats	Ксено много обича лакомства от плъхове.	Xeno adore les friandises à la viande de rat	Ксено обожает угощения из крыс
Tips/tipNuclear1	If you equip your Geiger Counter, it will automatically open when it detects a source of radiation.	Ако сложиш твоя Гайгер брояч, той автоматично ще се отвори, когато засече източник на радиация.	Si vous équipez votre compteur Geiger, il s’ouvrira automatiquement lorsqu’il détectera une source de radiation.\n	Если вы экипируете свой счетчик Гейгера, он автоматически откроется при обнаружении источника радиации.\n
Tips/tipNuclear2	Radiated items are hidden everywhere! Use a Geiger Counter to find them.	Радиоактивни предмети са скрити навсякъде! Използвай Гайгеров брояч, за да ги намериш.	Des objets irradiés sont cachés partout ! Utilisez un compteur Geiger pour les trouver.\n	Облучённые предметы спрятаны повсюду! Используйте счётчик Гейгера, чтобы их найти.\n
Tips/tipNuclear3	Anti-radiation extract is the best method to quickly reduce the Prepper's radiation level.	Антирадиационният екстракт е най-добрият начин бързо да намалиш радиацията на препъра.	L’extrait anti-radiation est la meilleure méthode pour réduire rapidement le niveau de radiation de Prepper.\n	Антирадиационный экстракт — лучший способ быстро снизить уровень радиации Prepper.\n
Tips/tipNuclear4	Nap, sleep or eat to reduce Prepper's radiation level.	Почивай, спи или яж, за да намалиш нивото на радиация на Препъра.	Fais une sieste, dors ou mange pour réduire le niveau de radiation de Prepper.\n	Вздремни, поспи или поешь, чтобы снизить уровень радиации Prepper.\n
Tips/tipNuclear5	You can safely keep Nuclear Material in your inventory. Its radiation level is too small to affect you.	Можеш спокойно да държиш ядрени материали в инвентара си. Нивото на радиация е твърде ниско, за да те засегне.	Vous pouvez conserver du matériel nucléaire en toute sécurité dans votre inventaire. Son niveau de radiation est trop faible pour vous affecter.\n	Вы можете безопасно хранить ядерный материал в своём инвентаре. Уровень его радиации слишком мал, чтобы вам навредить.\n
Tips/tipNuclear6	Keeping irradiated items in your inventory makes the Prepper's radiation level grow.	Съхраняването на радиоактивни предмети в инвентара ти увеличава нивото на радиация на Препъра.	Garder des objets irradiés dans votre inventaire fait augmenter le niveau de radiation de Prepper.\n	Хранение радиоактивных предметов в вашем инвентаре увеличивает уровень радиации Prepper.\n
Tips/tipNuclear7	Some of the irradiated items can respawn. 	Някои от радиоактивните предмети могат да се появят отново.	Certains des objets irradiés peuvent réapparaître.\n	Некоторые из облучённых предметов могут появляться снова.\n
Tips/tipNuclear8	Dr Edward, the scientist, can give you recipes for items that automate planting and harvesting. 	Д-р Едуард, ученият, може да ти даде рецепти за предмети, които автоматизират засаждането и прибирането на реколтата.	Le Dr Edward, le scientifique, peut vous donner des recettes pour des objets qui automatisent la plantation et la récolte.\n	Доктор Эдвард, учёный, может дать вам рецепты предметов, которые автоматизируют посадку и сбор урожая.\n
Tips/tipNuclear9	Use a Pitter to get seeds out of fruits, vegetables and other items.	Използвай питър, за да извадиш семена от плодове, зеленчуци и други неща.	Utilisez un dénoyauteur pour extraire les graines des fruits, légumes et autres objets.\n	Используйте косточковыдавливатель, чтобы достать семена из фруктов, овощей и других предметов.\n
Tips/tipNuclear10	Keep irradiated items away from food and plants.	Дръж радиоактивните предмети далеч от храната и растенията.	Gardez les objets irradiés éloignés de la nourriture et des plantes.\n	Держите облучённые предметы подальше от еды и растений.\n
Tips/tipNuclear11	Centrifuge can be used to clear some items of radiation.	Центрофугата може да се използва за премахване на радиация от някои предмети.	Une centrifugeuse peut être utilisée pour débarrasser certains objets de la radiation.\n	Центрифугу можно использовать, чтобы очистить некоторые предметы от радиации.\n
Tips/tipNuclear12	If you don't know where to find an item from a Scientist's Request, just ask him!	Ако не знаеш къде да намериш нещо от задача на учен, просто го попитай!	Si vous ne savez pas où trouver un objet d’une demande du scientifique, demandez-lui simplement !\n	Если вы не знаете, где найти предмет из запроса учёного, просто спросите его!\n
Tips/tipNuclear13	Crane Minigame price resets every day.	Цената на минииграта на кран се нулира всеки ден.	Le prix du mini-jeu de grue se réinitialise chaque jour.\n	Цена мини-игры с краном сбрасывается каждый день.\n
Tutorial/FirstFight1	Combat: [Q] - attack left, [E] - attack right	Бой: [Q] - атака наляво, [E] - атака надясно	Votre premier combat va commencer.	В бою: [Q] - атака слева, [E] - атака справа
Tutorial/FirstFight2	Move away to dodge wolfthem.	Отдръпни се, за да избегнеш вълка.	Cliquer sur le loup pour l'attaquer.	
Tutorial/FirstFight3	Hold <color=yellow>Left Control</color> to block the wolf's attacks	Дръж <color=yellow>Left Control</color> за да блокираш атаките на вълка	Maintenez ctrl gauche pour parer les attaques du loup	Зажмите левый Ctrl, чтобы блокировать атаку волка,
Tutorial/FirstFight3Port	Hold <sprite index=Button26_UIAtlas> to block the wolf's attacks	Дръж <sprite index=Button26_UIAtlas> за да блокираш атаките на вълка	Maintenez <sprite index=Button26_UIAtlas> enfoncée pour bloquer les attaques du loup	Удерживай <sprite index=Button26_UIAtlas> чтобы заблокировать атаку волка
Tutorial/FirstFight4	or move away to dodge them.	или се отдръпни, за да ги избегнеш.	ou éloignez-vous de lui pour éviter ses attaques.	или отойдите, чтобы уклониться.
Tutorial/FirstFight5	Use your bat in fight.	Използвай бухалката си в битка.	Utilisez votre batte pour combattre.	Деритесь битой.
Tutorial/FirstFight6	Good luck!	Успех!	Bonne chance!	Удачи!
Tutorial/FirstFightAddon1	Oh wait--	Ох, чакай--	Oh attendez--	Ой, минутку...
Tutorial/FirstFightAddon2	--you don't have a baseball bat!	--нямаш бейзболна бухалка!	--vous n'avez pas de batte de baseball!	...у вас же нет бейсбольной биты!
Tutorial/FirstFightAddon3	In this case...	В този случай...	Dans ce cas...	Что ж, тогда...
Tutorial/FirstFightAddon4	...you should RUN!	...трябва да бягаш!	...vous devriez COURIR!	...УНОСИТЕ НОГИ!
Tutorial/tt1	Tutorial	Урок	Tutoriel	Обучение
Tutorial/tt2	Controls	Контроли	Contrôles	Управление
Tutorial/tt3	Nap time	Време за сън	Sieste	Пора вздремнуть
Tutorial/tt4	Hunger	Глад	Faim	Голод
Tutorial/tt5	Preparedness	Готовност	Préparation	Живучесть
Tutorial/tt6	New escape plan	Нов план за бягство	Nouveau plan d'évasion	Новый план побега
Tutorial/tt7	Build a bunker	Построй бункер	Construire un bunker	Строительство бункера
Tutorial/tt8	Old friend	Стар приятел	Vieil ami	Старый друг
Tutorial/tt9	Workbench	Работна маса	Établi	Верстак
Tutorial/tt10	Trading	Търговия	Échange	Торговля
Tutorial/tt11	Forest	Гора	Forêt	Лес
Tutorial/tt12	Collecting	Събиране	Récolte	Собирательство
Tutorial/tt13	Back home	Вкъщи	Retour à la maison	Пора домой
Tutorial/tt14	Disassemble	Разглоби	Démonter	Разбор
Tutorial/tt15	You've got mail	Имаш поща	Vous avez du courrier	Вам письмо
Tutorial/tt16	Refresh	Опресни	Rafraîchir	Обновление
Tutorial/tt17	Ladder	Стълба	Échelle	Лестница
Tutorial/tt18	Place the ladder	Постави стълбата	Placez l'échelle	Поставить лестницу
Tutorial/tt19	Light	Светлина	Lampe	Свет
Tutorial/tt20	Light	Светлина	Lampe	Свет
Tutorial/tt21	Light	Светлина	Lampe	Свет
Tutorial/tt22	Night time	Нощта	Nuit	Ночь
Tutorial/tt23	Agent inspection	Проверка от агент	Inspection de l'Agent	Проверка Агента
Tutorial/tt24	Report	Докладвай	Rapport	Отчет
Tutorial/tt25	Workbench	Работна маса	Établi	Верстак
Tutorial/tt26	Breakfast	Закуска	Petit déjeuner	Завтрак
Tutorial/tt27	Journal	Дневник	Journal	Блокнот
Tutorial/				
Tutorial/td1	This is a tutorial. Let me show you around.	Това е урок. Нека ти покажа наоколо.	Ceci est un tutoriel. Laissez-moi vous guider.	Добро пожаловать в обучение. Сейчас я вам все покажу.
Tutorial/td2	Get familiar with the basic controls.	Запознай се с основните контроли.	Familiarisez-vous avec les contrôles de base.	Ознакомьтесь с управлением.
Tutorial/td3	You are tired after your escape attempt. You deserve a <color=yellow>nap</color>.	Уморен си след опита си за бягство. Заслужаваш <color=yellow>дрямка</color>.	Vous êtes fatigué après votre tentative d'évasion. Vous méritez de faire une <color=yellow>sieste</color>.	Вы устали после попытки побега. Пора <color=yellow>вздремнуть</color> – вы заслужили.
Tutorial/td4	You are hungry. Go <color=yellow>eat</color> something. 	Гладък си. Оти <color=yellow>изяди</color> нещо.	Vous avez faim. Allez <color=yellow>manger</color> quelque chose. 	Вы голодны. <color=yellow>Съешьте</color> что-нибудь.
Tutorial/td5	Keep your Preparedness high.	Поддържай своята Готовност висока.	Gardez votre état de Préparation élevé.	Держите живучесть на высоком уровне.
Tutorial/td6	Check your new <color=yellow>escape plan</color>.	Провери своя нов <color=yellow>план за бягство</color>	Examinez votre nouveau <color=yellow>plan d'évasion</color>.	Взгляните на свой новый <color=yellow>план побега</color>.
Tutorial/td7	Build the first room of your bunker.	Построй първата стая на бункера си.	Construisez la première pièce de votre bunker.	Постройте первую комнату в бункере.
Tutorial/td7Port	Build the first room of your bunker. Select Room option, point place to create room and confirm with<sprite index=Button0_UIAtlas>	Изгради първата стая на твоя бункер. Избери опция Стая, укажи мястото за създаване на стаята и потвърди с<sprite index=Button0_UIAtlas>	Construisez la première salle de votre bunker. Sélectionnez l'option Pièce, sélectionnez l'endroit où vous souhaitez créer la pièce et validez avec<sprite index=Button0_UIAtlas>	Построй первое помещение своего бункера. Выбери опцию Комната, укажи место, в котором ты желаешь создать комнату, и подтверди<sprite index=Button0_UIAtlas>
Tutorial/td8	You need to craft a <color=yellow>ladder</color> for your bunker. \nFirst, uncover your trusty <color=yellow>workbench</color>. 	Трябва да изработиш <color=yellow>скала</color> за бункера си. \nПърво, открий надеждната си <color=yellow>работна маса</color>.	Vous devez fabriquer une <color=yellow>échelle</color> pour votre bunker. \nPremièrement, découvrez votre fidèle <color=yellow>établi</color>. 	Нужно сделать <color=yellow>лестницу</color>.\nСначала снимите покрывало со своего верного <color=yellow>верстака</color>.
Tutorial/td9	Your workbench is a bit rusty. \nLet's see what you need to refresh it.	Работната ти маса е малко ръждясала. \nДа видим какво ти трябва, за да я освежиш.	Votre établi est un peu rouillé. \nVoyons ce qu'il faut pour le remettre en état.	Ваш верстак слегка заржавел.\nПосмотрим, как можно его обновить.
Tutorial/td10	You will need some metal and some wood. Start with buying <color=yellow>8 units of metal</color>.	Ще ти трябват метал и дърво. Започни с купуването на <color=yellow>8 единици метал</color>.	Vous aurez besoin de métal et de bois. Commencez par acheter <color=yellow>8 unités de métal</color>.	Вам понадобится металл и дерево. Для начала купите <color=yellow>8 единиц металла</color>.
Tutorial/td11	Go to the forest and find some wood. 	Отиди в гората и намери малко дърво.	Allez dans la forêt pour trouver du bois.	Отправляйтесь в лес и раздобудьте бревен.
Tutorial/td12	# wood logs.	# дървени трупи.	# rondins de bois	Бревна: #.
Tutorial/td13	Go back home.	Върни се у дома.	Revenez à la maison.	Отправляйтесь домой.
Tutorial/td14	Disassemble 3 logs to get wood. \n<color=yellow># logs disassembled<color=yellow>.	Разглоби 3 клонки за дърво. \n<color=yellow># разглобени клонки<color=yellow>.	Coupez 3 rondins pour obtenir du bois. \n<color=yellow># rondins coupés<color=yellow>.	Разберите 3 бревна.\n<color=yellow>Бревен разобрано: #<color=yellow>.
Tutorial/td15	Receive your metal.	Получи своя метал.	Réceptionnez votre métal.	Заберите свой металл.
Tutorial/td16	Upgrade your workbench.	Подобри работната маса.	Améliorez votre établi.	Улучшите свой верстак.
Tutorial/td17	You can finally craft a ladder!	Можеш най-накрая да направиш стълба!	Enfin vous pouvez fabriquer une échelle!	Наконец-то можно сделать лестницу!
Tutorial/td18	Just place the ladder. Drag & drop it.	Просто постави стълбата. Плъзни и пусни.	Placez l'échelle. Faites-la glisser et déposez-la.	Просто поставьте лестницу. Зажмите и перетащите.
