# key	english	bulgarian	french	russian
UI/creditsAnimalFarm	Additional help with Animal Farm DLC	Допълнителна помощ с допълнението "Животинска ферма"	Aide supplémentaire avec le DLC Animal Farm	Дополнительная помощь с DLC «Скотный двор»
UI/creditsWill	Respect the land or it'll bite you	Уважавай земята или тя ще те хапне	Respectez la terre, sinon elle vous mordra	Уважай землю, или она тебя покусает
UI/credits	Credits	Автори	Crédits	Авторы
UI/translationInProgress	Translation in progress - coming soon	Превод в процес - скоро	Traduction en cours - bientôt disponible	Перевод в процессе - скоро будет доступен
UI/ultimateFishBoard	Ultimate Fish Board	Крайна рибна дъска	Tableau des poissons	Рыболовный справочник
UI/advancedCombatMode	This book activates advanced combat mode, allowing you to attack and move simultaneously. It can be disabled later. Enable now?	Тази книга активира режим на напреднал бой, позволявайки ти да атакуваш и се движиш едновременно. По-късно можеш да го изключиш. Активирай сега?	Ce livre active le mode de combat avancé, vous permettant d'attaquer et de vous déplacer simultanément. Il peut être désactivé ultérieurement. Voulez-vous l'activer maintenant ?	Эта книга активирует расширенный режим боя, позволяя вам атаковать и двигаться одновременно. Его можно отключить позже. Включить сейчас?
UI/advancedCombatModeNo	You still get other benefits from this book: \nbetter speed and damage. 	Все още получаваш други ползи от тази книга: \nпо-бърза и по-силна. 	Vous bénéficiez toujours des autres avantages de ce livre : une vitesse supérieure et des dégâts plus importants.	Вы все еще получаете другие преимущества этой книги:\nлучшую скорость и урон.
UI/advancedCombatModeSetting	Stop when attacking	Спре при атака	Arrêtez-vous lorsque vous attaquez	Остановиться при атаке
UI/contextKILL	Kill	Убий	Tuer	
UI/fishingMinigameToEarly	Too Early!	Твърде рано!	Trop tôt!	
UI/fishingMinigameToLate	Too Late!	Твърде късно!	Trop tard!	
UI/minigameEvent	event	събитие	événement	событие
UI/minigameBeat	Reach the score:	Достигни резултат:	Faites mieux que le score	Превзойти результат
UI/minigameToGet	to get a prize of	за да вземеш награда от	et reçois une récompense en argen	и получи денежный приз
UI/minigameWin	We have a winner!!!	Имаме победител!!!	Nous avons un gagnant!	У нас есть победитель!
UI/minigameWin2	The reward will be delivered to your mail box.	Наградата ще бъде изпратена в твоята поща	La récompense sera déposée dans votre boîte aux lettres.	Награда будет доставлена в ваш почтовый ящик.
UI/minigameEventFreedomRoad	Beat the target score in a Freedom Road event!	Достигни целевия резултат в събитието Freedom Road!	Faites mieux que le score cible dans un événement Freedom Road	Превзойти целевой результат в мероприятии Freedom Road
UI/minigameEventUndeadHell	Beat the target score in an Undead Hell event!	Достигни целевия резултат в събитието Undead Hell!	Faites mieux que le score cible dans un événement Undead Hell	Превзойдите целевой результат на мероприятии Undead Hell
UI/minigameGetScoreUndeadHell1	Nights to survive:	Нощувки за оцеляване:	Survis autant de nuits	Пережить столько ночей
UI/minigameGetScoreFreedomRoad	Reach the level:  	Достигни ниво:	Atteindre le niveau	Достигни уровня
UI/minigameFlierTitle	GAME COMPETITION	ГРАНИЧЕН ТОРГ	CONCOURS DANS LE JEU	КОНКУРС В ИГРЕ
UI/minigameCongratulation	CONGRATULATIONS	ПОЗДРАВЛЕНИЯ	FÉLICITATIONS 	ПОЗДРАВЛЯЕМ 
UI/minigameCongratulation2	MR. PREPPER!	Г-н Препър!	M. PREPPER !	МИСТЕР ПРЕППЕР!
UI/minigameReachedTargetScore	YOU'VE REACHED THE TARGET SCORE IN THE GAME:	Достигнах си целевия резултат в играта:	VOUS AVEZ ATTEINT LE SCORE CIBLE DANS LE JEU :	ВЫ ДОСТИГЛИ ЗАДАННЫЙ БАЛЛ В ИГРЕ:
UI/minigameYouWon	YOU WON	Победи	VOUS AVEZ GAGNÉ	ВЫ ВЫИГРАЛИ
UI/minigameOutstandingJob	OUTSTANDING JOB! SEE YOU IN THE NEXT EVENT	ВЪРШИ! Свидане ти на следващото събитие	EXCELLENT TRAVAIL ! À LA PROCHAINE ÉVÉNEMENT !	ОТЛИЧНАЯ РАБОТА! УВИДИМСЯ НА СЛЕДУЮЩЕМ МЕРОПРИЯТИИ!
UI/minigameGameingClub	NEIGHBORHOOD GAMING CLUB	НАЙБЛИЗКИЯ КЛУБ	CLUB DE JEUX DU QUARTIER	КЛУБ ИГРОВОГО СОСЕДСТВА
UI/computerNotebookContentText	Tuesday\n\nDear Diary... ah, damn, no, I can't do it like this.\n\nWednesday\n\nOkay, once again. I decided to start making some notes as an exercise. My memory feels bad and all days seem to be the same. It is said that journaling makes you remember stuff better. I will try and see how this works out.\n\nThursday\n\nToday I was just walking around Murricaville area. I think such long walks help me concentrate. I need to get to know the surroundings better.\n\nFriday\n\nThe forest seems familiar somehow: the plants, the light, the scents. One thing surprised me though, and it was the sound of howling. Since when do we have wolves around here? \n\nSaturday \n\nRestless today. Did some small chores and repairs around the house. I can't help thinking that the town is too quiet. What is missing? The traffic, maybe? The daily chatter of neighbors? Barking of dogs?\n\nSunday\n\nA dream about flying. Gaining speed. Exhilaration. I don't actually know whether I'm in an airplane or not. I'm flying right above the treeline, I feel I'm reaching my destination, but I don't slow down for landing, I just go faster, treetops are closer. I wake up with a twitch of my whole body.\n\nTuesday\n\nDecided to drive around Murricaville for a bit. Not much going on. Neighbors greet each other with "Bless the President!". The postman delivers "One Truth" (what happened to other newspapers?). Everything looks the same. Nothing is happening. Everything is thoroughly, deeply, incredibly boring.\n\nShould I drive further and see how it is in other places?\n\nWednesday\n\nI dreamt about dogs tonight. Don't remember the details, but it wasn't a pleasant dream. Barking, growling. Why they were so agitated? I don't know.\n\nThursday\n\nLiterally nothing happened today. I'm so bored I don't even know what to write here.\n\nSaturday\n\nOkay, I'm leaving tomorrow. I have a full tank. I really, really need to see other places.\n\n	Вторник\n\nСкъпо дневниче... а, по дяволите, не, не мога да го напиша така.\n\nСряда\n\nДобре, отново. Реших да започна да си водя бележки като упражнение. Паметта ми се чувства зле и всички дни изглеждат еднакви. Казват, че воденето на дневник помага да запомниш нещата по-добре. Ще опитам и ще видя как ще се получи.\n\nЧетвъртък\n\nДнес просто се разхождах из района на Мюрикавил. Мисля, че такива дълги разходки ми помагат да се концентрирам. Трябва да опозная по-добре околностите.\n\nПетък\n\nГората изглежда някак позната: растенията, светлината, ароматите. Едно нещо обаче ме изненада, и това беше звукът на вой. От кога имаме вълци наоколо? \n\nСъбота \n\nНеспокоен днес. Направих някои дребни домакински работи и ремонти. Не мога да не си мисля, че градът е твърде тих. Какво липсва? Трафикът, може би? Ежедневният брътвеж на съседите? Лаенето на кучетата?\n\nНеделя\n\nСън за летене. Набиране на скорост. Възбуда. Не знам дали съм в самолет или не. Летя точно над горския пояс, чувствам, че достигам целта си, но не забавям за кацане, просто ускорявам, върховете на дърветата са по-близо. Събуждам се с потрепване на цялото тяло.\n\nВторник\n\nРеших да покарам из Мюрикавил за малко. Няма много случващи се неща. Съседите се поздравяват с "Боже, пази президента!". Пощальонът доставя "Една истина" (какво стана с другите вестници?). Всичко изглежда същото. Нищо не се случва. Всичко е досадно, много досадно.\n\nДа продължа ли да карам и да видя как е на други места?\n\nСряда\n\nСънувах кучета тази нощ. Не помня подробностите, но не беше приятен сън. Лаене, ръмжене. Защо бяха толкова развълнувани? Не знам.\n\nЧетвъртък\n\nНищо не се случи днес. Толкова съм отегчен, че дори не знам какво да напиша тук.\n\nСъбота\n\nДобре, утре заминавам. Имам пълен резервоар. Наистина, наистина трябва да видя други места.\n\n	Mardi\n\nCher journal... ah, zut, non, je ne peux pas le faire comme ça.\n\nMercredi\n\nBon, encore une fois. J'ai décidé de commencer à prendre des notes en guise d'exercice. Ma mémoire est défaillante et tous les jours semblent se ressembler. On dit que tenir un journal permet de mieux se souvenir des choses. Je vais essayer et voir comment cela fonctionne.\n\nJeudi\n\nAujourd'hui, je me suis promené dans la région de Murricaville. Je pense que ces longues promenades m'aident à me concentrer. Il faut que j'apprenne à mieux connaître les environs.\n\nVendredi\n\nLa forêt me semble familière : les plantes, la lumière, les odeurs. Mais une chose m'a surpris, c'est le bruit des hurlements. Depuis quand y a-t-il des loups dans le coin ? \n\nSamedi \n\nAujourd'hui, je n'ai pas eu le temps de m'endormir. J'ai fait quelques petites tâches et réparations dans la maison. Je ne peux m'empêcher de penser que la ville est trop calme. Qu'est-ce qui manque ? La circulation, peut-être ? Le bavardage quotidien des voisins ? Les aboiements des chiens ?\n\nDimanche\n\nRêve de vol. Prendre de la vitesse. L'exaltation. Je ne sais pas vraiment si je suis dans un avion ou non. Je vole juste au-dessus de la limite des arbres, je sens que j'arrive à destination, mais je ne ralentis pas pour l'atterrissage, j'accélère, la cime des arbres est plus proche. Je me réveille avec un tremblement de tout mon corps.\n\nMardi\n\nJ'ai décidé de rouler un peu dans Murricaville. Il ne se passe pas grand-chose. Les voisins se saluent avec des ""Bless the President !"". Le facteur livre ""Une vérité"" (qu'est-il advenu des autres journaux ?). Tout se ressemble. Il ne se passe rien. Tout est complètement, profondément, incroyablement ennuyeux.\n\nDois-je aller plus loin et voir comment c'est ailleurs ?\n\nMercredi\n\nJ'ai rêvé de chiens cette nuit. Je ne me souviens pas des détails, mais ce n'était pas un rêve agréable. Des aboiements, des grognements. Pourquoi étaient-ils si agités ? Je n'en sais rien.\n\nJeudi\n\nIl ne s'est littéralement rien passé aujourd'hui. Je m'ennuie tellement que je ne sais même pas quoi écrire ici.\n\nSamedi\n\nOk, je pars demain. J'ai le réservoir plein. J'ai vraiment, vraiment besoin de voir d'autres endroits.	Вторник\n\nДорогой дневник... ах, черт, нет, я так не могу.\n\nСреда\n\nИтак, еще раз. Я решил начать делать какие-то заметки в качестве упражнения. У меня плохая память, и все дни кажутся одинаковыми. Говорят, что ведение дневника помогает лучше запоминать. Я попробую и посмотрю, что из этого получится.\n\nЧетверг\n\nСегодня я просто гулял по окрестностям Муррикавилля. Думаю, такие длительные прогулки помогают мне сосредоточиться. Мне нужно получше узнать окрестности.\n\nПятница\n\nЛес кажется каким-то знакомым: растения, свет, запахи. Но одно меня удивило - это звук воя. С каких это пор здесь водятся волки? \n\nСуббота \n\nСегодня неспокойно. Занимался мелкими делами и ремонтом по дому. Не могу отделаться от мысли, что в городе слишком тихо. Чего не хватает? Может быть, автомобильного движения? Ежедневной болтовни соседей? Лая собак?\n\nВоскресенье\n\nСон о полете. Набирает скорость. Ликование. Я не знаю, на самом деле я в самолете или нет. Я лечу прямо над линией деревьев, чувствую, что достигаю цели, но не снижаю скорость для посадки, а только ускоряюсь, деревья все ближе. Просыпаюсь от того, что все тело подергивается.\n\nВторник\n\nРешил немного покататься по Муррикавилю. Ничего особенного не происходит. Соседи приветствуют друг друга словами "Благословите президента!". Почтальон приносит ""Единую правду" (что случилось с другими газетами?). Все выглядит одинаково. Ничего не происходит. Все очень, очень, очень скучно.\n\nМожет быть, мне стоит проехать дальше и посмотреть, как обстоят дела в других местах?\n\nСреда\n\nСегодня ночью мне снились собаки. Подробностей не помню, но сон был не из приятных. Лай, рычание. Почему они были так возбуждены? Не знаю.\n\nЧетверг\n\nСегодня буквально ничего не произошло. Мне так скучно, что я даже не знаю, что здесь писать.\n\nСуббота\n\nЛадно, завтра я уезжаю. У меня полный бак. Мне очень, очень нужно увидеть другие места.
UI/AttackType1	Attack with [Q] and [E1]	Атакувай с [Q] и [E1]	Attaquer avec [Q] et [E1]	Атаковать с [Q] и [E1]
UI/AttackType1Port	Attack with <sprite index=27> and <sprite index=28>	Атакувай с <sprite index=27> и <sprite index=28>	Attaquer avec <sprite index=27> et <sprite index=28>	Атаковать с <sprite index=27> и <sprite index=28>
UI/AttackType2	Attack with [E2]	Атакувай с [E2]	Attaquer avec [E2]	Атаковать с [E2]
UI/AttackType2Port	Attack with <sprite index=28>	Атакувай с <sprite index=28>	Attaquer avec <sprite index=28>	Атаковать с <sprite index=28>
UI/AttackType3	Old Combat System	Стар боен режим	Ancien Système de Combat	Старая система боя
UI/loadSaveConfirmationText	Do you want to load this save?	Искаш да заредиш този сейв?	Voulez-vous charger cette sauvegarde ?	Хотите загрузить этот сохраненный файл?
UI/loadSaveMenuLabel	Load game	Зареди игра	Charger le jeu	Загрузить игру
UI/sortButtonTooltip	Sort	Сортирай	Trier	Сортировать
UI/diffCustom	Custom	Персонализиран	Personnalisé	Настраиваемый
UI/diffCustomdesc	Tailor the game to your preferences by adjusting individual parameters. Choose your own balance between challenge and creativity by customizing elements such as combat difficulty, speed of certain actions, events and more. This mode offers the ultimate flexibility for players who want to craft their own unique gameplay experience.\r	Настройте играта според вашите предпочитания, като коригирате индивидуални параметри. Изберете своя баланс между предизвикателство и креативност, като персонализирате елементи като трудност на битката, скорост на определени действия, събития и още. Този режим предлага върхова гъвкавост за играчи, които искат да създадат свой уникален геймплей опит.\r	Adaptez le jeu à vos préférences en ajustant des paramètres individuels. Choisissez votre propre équilibre entre défi et créativité en personnalisant des éléments tels que la difficulté des combats, la vitesse de certaines actions, les événements et plus encore. Ce mode offre une flexibilité ultime aux joueurs qui souhaitent créer leur propre expérience de jeu unique.\n	Настройте игру в соответствии с вашими предпочтениями, регулируя отдельные параметры. Выберите собственный баланс между сложностью и креативностью, настраивая такие элементы, как сложность боя, скорость выполнения определённых действий, события и многое другое. Этот режим предлагает максимальную гибкость для игроков, которые хотят создать уникальный игровой опыт.\n
UI/diffCustomSettings	Custom mode settings	Настройки за персонализиран режим	Paramètres du mode personnalisé\r\n	Настройки пользовательского режима\r
UI/applySettings	Apply settings	Приложи настройките	Appliquer les paramètres	Применить настройки
UI/customSettingsCreative	Creative mode	Режим на творчество	Mode créatif	Творческий режим
UI/customSettingsSandbox	Sandbox mode	Режим "Пясъчник"	Mode bac à sable	Режим песочницы
UI/customSettingsHardcore	Hardcore mode	Режим "Твърдо ядро"	Mode hardcore	Хардкорный режим
UI/customSettingsEnemyQuantity	Enemies quantity multiplier	Множител за количество врагове	Multiplicateur de quantité d'ennemis	Множитель количества врагов
UI/customSettingsPlayerDmgTaken	Player damage taken multiplier	Множител на щетите, които получаваш	Multiplicateur de dégâts subis par le joueur	Множитель получаемого игроком урона
UI/customSettingsPlayerAtkDmg	Player attack damage multiplier	Множител на щетите при атака на играча	Multiplicateur de dégâts d'attaque du joueur	Множитель урона от атак игрока
UI/customSettingsPlayerAtkSpeed	Player attack speed	Скорост на атака на играча	Vitesse d'attaque du joueur	Скорость атаки игрока
UI/customSettingsPlayerMovSpeed	Player movement speed	Скорост на движение на играча	Vitesse de déplacement du joueur	Скорость передвижения игрока
UI/customSettingsCraftingSpeed	Crafting speed	Скорост на изработка	Vitesse de fabrication	Скорость крафта
UI/customSettingsDisassembleMat	Materials received from disassembling multiplier	Материали получени от разглобяване множител	Multiplicateur de matériaux reçus lors du démontage	Множитель материалов, получаемых при разборке
UI/customSettingsPrepGain	Preparedness gain multiplier	Множител на натрупването на подготвеност	Multiplicateur de gain de préparation	Множитель прироста готовности
UI/customSettingsPrepLoss	Preparedness loss multiplier	Множител за загуба на готовност	Multiplicateur de perte de préparation	Множитель потерь готовности
UI/customSettingsStaminaGain	Stamina gain multiplier	Множител за придобиване на издръжливост	Multiplicateur de gain d'endurance	Множитель прироста выносливости
UI/customSettingsStaminaLoss	Stamina loss multiplier	Мултипликатор за загуба на издръжливост	Multiplicateur de perte d'endurance	Множитель потерь выносливости
UI/customSettingsHealthGain	Health gain multiplier	Множител на придобиване на здраве	Multiplicateur de gain de santé\n	Множитель прироста здоровья\n
UI/customSettingsHealthLoss	Health loss multiplier	Множител на загуба на здраве	Multiplicateur de perte de santé\n	Множитель потери здоровья\n
UI/customSettingsConditionDiff	Conditions difficulty	Условия на трудност	Difficulté des conditions	Сложность условий
UI/customSettingsEvents	Events	Събития	Événements	События
UI/customSettingsEventDuration	Events duration	Продължителност на събития	Durée des événements	Продолжительность событий
UI/customSettingsFoodSpoilSpeed	Food spoil speed 	Скорост на разваляне на храната	Vitesse de détérioration des aliments	Скорость порчи пищи
UI/customSettingsPlantsCanWilt	Plants can wilt	Растенията могат да увехнат	Les plantes peuvent se faner	Растения могут увядать
UI/customSettingsPlantsGrowSpeed	Plants grow speed multiplier	Множител на скоростта на растеж на растенията	Multiplicateur de vitesse de croissance des plantes	Множитель скорости роста растений
UI/customSettingsTradePrices	Trade prices multiplier	Множител за цените при търговия	Multiplicateur des prix du commerce	Множитель цен торговли
UI/customSettingsMachineFuelUse	Machines fuel usage multiplier	Машини - множител за разхода на гориво	Multiplicateur de consommation de carburant des machines	Множитель расхода топлива машин
UI/customSettingsDayDuration	Day duration multiplier	Дневна продължителност множител	Multiplicateur de durée du jour	Множитель продолжительности дня
UI/conditionDiffTooltip	Influences effects of player buffs and debuffs like hungry, tired, etc.	Влияе на ефектите от баферите и дебафърите на играча като гладен, уморен и т.н.	Influence les effets des buffs et debuffs du joueur, tels que la faim, la fatigue, etc.	Влияет на эффекты баффов и дебаффов игрока, такие как голод, усталость и т. д.
UI/eventsAndEventsDurationTooltip	Electricity cut off, water cut off, postman missing events	Прекъсват електричеството, прекъсват водата, изчезвания на пощенски	Coupure d'électricité, coupure d'eau, événements de disparition du facteur	Отключение электроэнергии, отключение воды, пропажа почтальона
UI/eventDurationShort	Short	Кратко	Court	Короткий
UI/eventDurationLong	Long	Дълго	Long	Длинный
UI/eventDurationNormal	Normal	Нормален	Normal	Нормальный
UI/customSettingsSurpriseAgentVisits	Surprise agent visits	Изненадващ агент посещава бункера ви!	Visites surprises d'agents\r	Неожиданные визиты агента
UI/customSettingsGunsCanBreak	Guns can break	Оръжията могат да се счупят	Les armes peuvent se casser\r	Оружие может сломаться\r
UI/shareCustomPresetButton	Share with developers	Сподели с разработчиците	Partager avec les développeurs	Поделиться с разработчиками
UI/todaysLimit	today's limit:	дневният лимит:	limite d'aujourd'hui :\r	сегодняшний лимит:\r\n
UI/todaysLimitReached	today's limit reached	достигнал е дневен лимит	limite d'aujourd'hui atteinte	достигнут сегодняшний лимит
UI/customModeSettingsShare	Custom mode settings share	Споделяне настройки кастомна игра	Partager les paramètres du mode personnalisé	Поделиться настройками пользовательского режима
UI/customModeSettingsShareDesc	Help us come up with awesome custom mode settings to try. We may feature your settings in feature updates. This will send your current custom mode settings to us. Please provide name and description of your custom setting suggestion.	Помогни ни да измислим страхотни настройки за кастомния режим за тестване. Може да представим твоите настройки в бъдещи актуализации. Това ще изпрати твоите текущи настройки на кастомния режим към нас. Моля, дай име и описание на твоята идея за кастомна настройка.	Aidez-nous à concevoir des paramètres de mode personnalisé géniaux à essayer. Vos paramètres pourraient être inclus dans de futures mises à jour. Cela enverra vos paramètres de mode personnalisé actuels à notre équipe. Veuillez fournir le nom et la description de votre suggestion de paramètre personnalisé.\n	Помогите нам придумать отличные настройки пользовательского режима для тестирования. Возможно, мы включим ваши настройки в будущие обновления. Это отправит ваши текущие настройки пользовательского режима к нам. Пожалуйста, укажите название и описание вашего предложения по настройкам.\n
UI/customModeSettingsShareNamePlaceholder	Name your custom setting...	Името на твоята настройка...	Nommez votre paramètre personnalisé...	Назовите свою пользовательскую настройку...
UI/customModeSettingsShareDescPlaceholder	Describe your custom setting...	Опиши твоите настройки...	Décrivez votre paramètre personnalisé...	Опишите свою пользовательскую настройку...
UI/customModeSettingsShareSend	Send	Изпрати	Envoyer	Отправить
UI/customModeSettingsShareWarning	Name and description are required	Име и описание са задължителни	Le nom et la description sont requis	Название и описание обязательны
UI/radiatedItemsTutorialMessage	Warning! Having irradiated items in your inventory \nmakes the Prepper's radiation level grow.	Внимание! Имането на излъчващи предмети в инвентара ти \nувеличава нивото на радиация на препъра.	Attention ! Avoir des objets irradiés dans votre inventaire \naugmente le niveau de radiation du Prepper.\n	Внимание! Наличие радиоактивных предметов в вашем инвентаре \nувеличивает уровень радиации у Prepper.\n
UI/uraniumGlowingGlassJoeAsk	Glowing Glass	Светящо стъкло	Verre lumineux\n	Светящееся стекло\n
UI/uraniumMineBobAsk	Uranium Mine	Руда от уранов рудник	Mine d'uranium\n	Урановая шахта\n
UI/radiatedMushroomsAsk	Weird Mushrooms	Странни гъби	Champignons étranges\n	Странные грибы\n
UI/nucklearEngineeringBookAsk	Nuclear DIY	Ядрена самоделка	DIY nucléaire\n	Ядерное «сделай сам»\n
UI/contextCentrifuge	Activate	Активирай	Activer\n	Активировать\n
UI/contextBUY	Buy	Купи	Acheter\n	Купить\n
UI/contextExtract	Extract	Извлечи	Extraire\n	Извлечь\n
UI/noElectricityDisabled	Electricity cut off event is permanently disabled	Събитието прекъсване на електричеството е постоянно деактивирано	L'événement de coupure d'électricité est désactivé définitivement\n	Событие отключения электричества навсегда отключено\n
UI/noWaterDisabled	Water cut off event is permanently disabled	Събитието за прекъсване на водата е постоянно деактивирано	L'événement de coupure d'eau est désactivé définitivement\n	Событие отключения воды навсегда отключено\n
UI/postamMissingDisabled	Postman missing event is permanently disabled	Събитието Пощенският е изключено постоянно	L'événement du facteur disparu est désactivé définitivement\n	Событие «Пропал почтальон» навсегда отключено\n
UI/expeditionSend	Send expedition	Изпрати експедиция	Envoyer l'expédition\n	Отправить экспедицию\n
UI/expeditionCancel	Cancel expedition	Отмени експедицията	Annuler l'expédition\n	Отменить экспедицию\n
UI/expeditionCost	Cost	Цена	Coût\n	Стоимость\n
UI/expeditionDuration	Duration	Продължителност	Durée\n	Продолжительность\n
UI/expeditionLoot	Loot	Плячка	Butin\n	Добыча\n
UI/expeditionLootCommon	Common	Общ	Commun\n	Обычное\n
UI/expeditionLootRare	Rare	Редък	Rare\n	Редкое\n
UI/expeditionLootEpic	Epic	Епичен	Épique\n	Эпическое\n
UI/nuclearDLC	Uranium Project	Проект Уран	Projet Uranium\n	Проект уран\n
UI/contextEXPEDITION	Expedition	Експедиция	Expédition\n	Экспедиция\n
UI/currentExpedition	Current expedition:	Текуща експедиция:	Expédition en cours :\n	Текущая экспедиция:\n
UI/craneTittle	Crane Machine	Машина крана	Grue\n	Кран\n
UI/craneLevel	Level	Ниво	Niveau\n	Уровень\n
UI/craneLevelInfo	You gain experience points by retrieving boxes with the crane machine. \nYou gain extra experience points for clearing all boxes in the room. \nLevels grant perks that increase chances of better boxes and unlock additional mechanics.	Печелиш точки за опит, като изваждаш кутии с крана. \nПечелиш допълнителни точки за опит, като изчистиш всички кутии в стаята. \nНивата дават бонуси, които увеличават шансовете за по-добри кутии и отключват допълнителни механики.	Vous gagnez des points d'expérience en récupérant des coffres avec la machine à grue. \nVous gagnez des points d'expérience supplémentaires en vidant tous les coffres de la pièce. \nLes niveaux offrent des avantages qui augmentent les chances d'obtenir de meilleurs coffres et débloquent des mécaniques supplémentaires.\n	Вы получаете очки опыта, вытаскивая коробки с помощью крана. \nВы получаете дополнительные очки опыта за очистку всех коробок в комнате. \nУровни дают бонусы, которые повышают шансы на лучшие коробки и открывают дополнительные механики.\n
UI/craneCostInfo	Every next game is more expensive, but the cost resets every day.	Всеки следващ игра е по-скъп, но цената се рестартира всеки ден.	Chaque partie suivante coûte plus cher, mais le coût se réinitialise chaque jour.\n	Каждая следующая игра дороже, но стоимость сбрасывается каждый день.\n
UI/craneRerollInfo	Reset position of current boxes.	Нулирай позицията на текущите кутии	Réinitialiser la position des coffres actuels.\n	Сбросить положение текущих коробок.\n
UI/craneCurrent	Current perks	Текущи бонуси	Avantages actuels\n	Текущие бонусы\n
UI/craneNextLevel	Next level perks	Бонуси след следващото ниво	Avantages du niveau suivant\n	Бонусы следующего уровня\n
UI/craneNoPerks	No perks	Без бонуси	Aucun avantage\n	Нет бонусов\n
UI/craneStart	Play	Играй	Jouer\n	Играть\n
UI/craneCleared	Prize boxes cleared!	Победни кутии изчистени!	Coffres à prix vidés !\n	Призовые коробки очищены!\n
UI/craneExp	exp	опит		
UI/cranePerkUncommon	for <color=#A8E6A1>uncommon</color> boxes	за <color=#A8E6A1>нечесто срещани</color> кутии	pour les coffres <color=#A8E6A1>inhabituels</color>\n	для <color=#A8E6A1>необычных</color> коробок\n
UI/cranePerkRare	for <color=#A1C9F1>rare</color> boxes	за <color=#A1C9F1>рядко</color> кутии	pour les coffres <color=#A1C9F1>rares</color>\n	для <color=#A1C9F1>редких</color> коробок\n
UI/cranePerkVeryRare	for <color=#D1A8F0>very rare</color> boxes	за <color=#D1A8F0>много редки</color> кутии	pour les coffres <color=#D1A8F0>très rares</color>\n	для <color=#D1A8F0>очень редких</color> коробок\n
UI/cranePerkLegendary	for <color=#FFE0A8>legendary</color> boxes	за <color=#FFE0A8>легендарни</color> кутии	pour les coffres <color=#FFE0A8>légendaires</color>\n	для <color=#FFE0A8>легендарных</color> коробок\n
UI/craneChancesLabel	Current boxes chances	Текущи шансове на кутиите	Chances actuelles pour les coffres\n	Текущие шансы на коробки\n
UI/craneCommon	<color=#D3D3D3>Common</color> 	<color=#D3D3D3>Общ</color>	<color=#D3D3D3>Commun</color>\n	<color=#D3D3D3>Обычное</color>\n
UI/craneUncommon	<color=#A8E6A1>Uncommon</color> 	<color=#A8E6A1>Необичаен</color>	<color=#A8E6A1>Inhabituel</color>\n	<color=#A8E6A1>Необычное</color>\n
UI/craneRare	<color=#A1C9F1>Rare</color> 	<color=#A1C9F1>Редки</color>	<color=#A1C9F1>Rare</color>\n	<color=#A1C9F1>Редкое</color>\n
UI/craneVeryRare	<color=#D1A8F0>Very Rare</color> 	<color=#D1A8F0>Много рядък</color>	<color=#D1A8F0>Très rare</color>\n	<color=#D1A8F0>Очень редкое</color>\n
UI/craneLegendary	<color=#FFE0A8>Legendary</color> 	<color=#FFE0A8>Легендарен</color>	<color=#FFE0A8>Légendaire</color>\n	<color=#FFE0A8>Легендарное</color>\n
UI/creditsUranium	Additional help with Project Uranium DLC	Допълнителна помощ с допълнението "Проект Уран"	Aide supplémentaire pour le DLC Project Uranium\n	Дополнительная помощь с DLC Project Uranium\n
UI/creditsUpdates	Additional help with Content Updates	Допълнителна помощ с актуализациите на съдържанието	Aide supplémentaire pour les mises à jour de contenu\n	Дополнительная помощь с обновлениями контента\n
UI/creditsProgramming	(Programming)	(Програмиране)	(Programmation)\n	(Программирование)\n
UI/creditsGraphics	(Graphics)	(Графика)	(Graphismes)\n	(Графика)\n
UI/creditsLemon	Bye my lemonade!	Довиждане, лимонадът ми!	Achetez ma limonade !\n	Купи мой лимонад!\n
UI/creditsFreeSounds	SFX	Звуков ефект		
UI/geigerUIEnviro	It displays the current radiation level around you.	Показва текущото ниво на радиация около теб	Affiche le niveau actuel de radiation autour de vous.\n	Отображает текущий уровень радиации вокруг вас.\n
UI/geigerUIInventory	It displays the current radiation level in your inventory.	Показва текущото ниво на радиация в твоя инвентар	Affiche le niveau actuel de radiation dans votre inventaire.\n	Отображает текущий уровень радиации в вашем инвентаре.\n
UI/contextPULL	Pull	Тягни	Tirer\n	Тянуть\n
UI/contextDETONATE	Detonate	Детонирай	Détoner\n	Детонировать\n
UI/craneMinigameLucky	Lucky Prizes\nAll prize boxes are higher rarity.	Щастливи награди\nВсички кутии с награди са по-редки.	Prix chanceux\nTous les coffres à prix ont une rareté plus élevée.\n	Счастливые призы\nВсе призовые коробки имеют повышенную редкость.\n
UI/craneMinigameOneType	Red Lights\nAll boxes have the same type.\nBonus exp for clearing all prize boxes.	Червени светлини\nВсички кутии са от един и същ тип.\nБонус XP за почистване на всички кутии с награди.	Feux rouges\nToutes les boîtes ont le même type.\nXP bonus pour vider toutes les coffres à prix.\n	Красные огни\nВсе коробки одного типа.\nБонусный опыт за очистку всех призовых коробок.\n
UI/craneMinigamePrizeBoxesCleared	Clear All Prize Boxes	Изчисти всички кутии с награди	Vider toutes les coffres à prix\n	Очистить все призовые коробки\n
UI/craneMinigamePrizeBox	Prize Box	Кутия с награди	Coffre à prix\n	Призовая коробка\n
