# key	english	bulgarian	french	russian
Items/MiningPassTwo	Mining Pass -3	Миньорски пропуск -3	Pass de la Mine -3	Пропуск в шахту -3
Items/MiningPassZero	Mining Pass -1	Миньорски пропуск -1	Pass de la Mine -1	Пропуск в шахту -1
Items/MiningRock	Big Rock	Голям камък	Gros Rocher	Большой камень
Items/MinutManLetter1	Minuteman's Letter	Писмо от Минуteman	Lettre de Minuteman	Письмо Минитмена
Items/MinutManLetter2	Minuteman's Letter	Писмо от Минуteman	Lettre de Minuteman	Письмо Минитмена
Items/MinutManLetter3	Minuteman's Letter	Писмо от Минуteman	Lettre de Minuteman	Письмо Минитмена
Items/MinutManLetter4	Minuteman's Letter	Писмо от Минуteman	Lettre de Minuteman	Письмо Минитмена
Items/MinutManLetter5	Minuteman's Letter	Писмо от Минуteman	Lettre de Minuteman	Письмо Минитмена
Items/MinutManLetter6	Minuteman's Letter	Писмо от Минуteman	Lettre de Minuteman	Письмо Минитмена
Items/MinutManLetter7	Minuteman's Letter	Писмо от Минуteman	Lettre de Minuteman	Письмо Минитмена
Items/MinutManLetter8	Minuteman's Letter	Писмо от Минуteman	Lettre de Minuteman	Письмо Минитмена
Items/NoSleepBook	Sleeper Agent	Агент на съня	Agent Dormant	«Спящий агент»
Items/PetrolheadBook	Hit the Fury Road	Удар по Пътят на яростта	Fou du Volant	«На Дороге ярости»
Items/Photo	Photo	Снимка	Photo	Фотография
Items/PickRock	Rock	Камък	Rocher	Камень
Items/Pill	Pill	Хапче	Pilule	Таблетка
Items/Pipe	Pipe	Тръба	Tuyau	Труба
Items/PlanObject	Escape Plan	План за бягство	Plan d'Évasion	План побега
Items/PostMan	Postman	Пощальон	Facteur	Почтальон
Items/PreppersGuideBook	The Preppy Guide to Prepping	Ръководството на Препър за Препърене	Le guide Preppy de la Préparation	«Живучий справочник выживальщика»
Items/RocketPhoto	Rocket Photo	Фото на ракетата	Photo de Fusée	Фотография ракеты
Items/RoomUpgradeProto	RoomUpgradeProto	Стая за надграждане		
Items/RottenFood	Rotten Food	Развалена храна	Nourriture Pourrie	Гнилая еда
Items/Ruby	Ruby	Руби	Rubis	Рубин
Items/Seed Guarana	Guarana Seed	Семе от гуарана	Graines de Guarana	Семена гуараны
Items/ShroomsWild	Wild Mushrooms	Диви гъби	Champignons Sauvages	Дикие грибы
Items/SladgeHammer	Sledgehammer	Чукът на Сладж	Masse	Кувалда
Items/Spear	Spear	Копие	Lance	Копье
Items/StrengthTrainingBook1	Atlas Jacked	Атлас Джакнат	Atlas Musclé	«Атлант поиграл мускулами»
Items/StrengthTrainingBook2	Atlas More Jacked	Атлас по-мускулест	Atlas encore plus Musclé	«Атлант снова поиграл мускулами»
Items/Stuff	Stuff	Неща	Affaire	Штуки
Items/SupremeBait	Supreme Bait	Върховен примамка	Appât Suprème	Великолепная приманка
Items/SuspiciousBush	Suspicious Bush	Подозрителен храст	Buisson Suspect	Подозрительный куст
Items/TestW2	TestW2	Изработка		
Items/Tomahawk	Tomahawk	Томахоук	Tomahawk	Томагавк
Items/WalrusBook	Project Iceworm	Проект Ледена Червей	Projet Iceworm	«Проект "Ледяной червь"»
Items/basePref	basePref	предпочитания на бункера		
Items/des kfu guliga holi gaba raba rada wada wosumano i oli kabo do salinano uso do	des kfu guliga holi gaba raba rada wada wosumano i oli kabo do salinano uso do			
Items/herbFirstLetter	Letter	Писмо	Lettre	Письмо
Items/HerbPill	Letter	Писмо	Lettre	Письмо
Items/RoastedDeerMeat	Roasted haunch of meat	Печено бутче от месо	Cuissot rôti	Жареный окорок
Items/DesRoastedDeerMeat	Okay, now I know I'm not above eating Bambi.	Добре, сега знам, че не съм над това да ям Бейби.	Ok, maintenant je sais que Bambi a bon goût.	Что ж, теперь я знаю, что мне нигде не щемит съесть Бэмби.
Items/RoastedBoarMeat	Steak	Стекове	Steak	Стейк
Items/DesRoastedBoarMeat	Well roasted, Obelix would be proud.	Добре изпечено, Обеликс би се гордял.	Bien rôtie, Obélix serait fier.	Прекрасно прожарился, Обеликс бы мной гордился.
Items/herbBed	Jenny's Bed	Леглото на Джени	Lit de Jenny	Кровать Дженни
Items/herbBedDes	But grandmother! What small cabin do you have, said Little Prepp Riding Hood.	Но бабо! Каква малка къщичка имаш, каза Малкият Препър Червеношапчица.	Mais grand-mère! Quelle petite cabane vous avez, dit le petit chaperon Prepp.	«Но бабушка, какой же у тебя маленький домик», – сказала Выживальческая шапочка.
Items/herbDeerTrophy	Jenny's Deer Trophy	Трофей от елен на Джени	Trophée de chasse de Jenny	Трофейный олень Дженни
Items/herbDeerTrophyDes	A hunter's trophy? Perhaps there is more to the Herbalist than meets the eye.\nAnd what's the deal with these antlers?	Трофей на ловец? Може би има повече в този билкар, отколкото изглежда на пръв поглед.\nИ какво е това с тези рога?	Un trophée de chasse? Il y a peut-être plus à savoir sur l'herboriste qu'il n'y paraît.\nEt c'est quoi le truc avec ces bois de cerf?	Охотничий трофей? Может, травница не так уж и проста.\nКстати, а что за дела с этими рогами?
Items/herbGrowingBox	Jenny's Growing Box	Кутията за отглеждане на Джени	Serre de Jenny	Теплица Дженни
Items/herbGrowingBoxDes	A growing box. Somehow I have a feeling these are not only decorative plants.	Кутия за отглеждане. Някак си имам чувството, че тези растения не са само декоративни.	Une serre. Bizarement, j'ai l'impression que ce ne sont pas que des plantes décoratives.	Теплица. Что-то мне подсказывает, что эти растения здесь не просто для украшения.
Items/herbTV	Jenny's TV	Телевизорът на Джени	Télévision de Jenny	Телевизор Дженни
Items/herbTVDes	There's nothing worthwhile on TV since the Plague, only news about successes of government, outdated educational programs, and old westerns.	Няма нищо стойностно по телевизията след Чумата, само новини за успехите на правителството, остарели образователни програми и стари уестърни.	Il n'y a rien de bien à la télévision depuis la Peste, que des nouvelles sur les succès du gouvernement, des programmes éducatifs dépassés et de vieux westerns.	Со времен начала Чумы по телевизору не идет ничего стоящего, крутят только новости об успехах правительства, устаревшие образовательные передачи и старые вестерны.
Items/herbWeedHook	Weed hook	Кука за трева	Crochet à Désherber	Садовый инструмент
Items/herbWeedHookDes	This is probably a weeding tool. But it could definitely kill you.	Това вероятно е инструмент за плевене. Но със сигурност може да те убие.	C'est peut-être un outil de désherbage. Mais il peut certainement vous tuer.	Похоже, это садовый инструмент. Но им наверняка и убить можно.
Items/herbDaisyGrubber	Daisy Grubber	Култиватор с маргаритка	Couteau à Désherber	Культиватор с маргариткой
Items/herbDaisyGrubberDes	A gardening tool or a torture device? I don't trust the cute daisy painted on it. 	Градински инструмент или устройство за мъчения? Не вярвам на сладкото маргаритка, нарисувано върху него.	Un outil de jardinage ou un instrument de torture? Je ne fais pas confiance à la mignonne marguerite peinte dessus.	Садовый инструмент или устройство для пыток? Эта милая маргаритка не внушает доверия.
Items/Calendar	Calendar	Календар	Calendrier	Календарь
Items/CalendarDes	Helps to keep track of important events	Помага да следиш важни събития	Aide à se souvenir des évènements importants	Помогает следить за важными событиями.
Items/Foil	Foil	Алуминиево фолио	Papier Aluminium	Фольга
Items/DesFoil	Best protection from mind-controlling waves.	Най-добрата защита от вълни, контролиращи ума.	Meilleure protection contre les ondes de contrôle mental.	Лучший способ защититься от волн, контролирующих разум.
Items/RadioReciver	Joe's Radio	Радиото на Джо	Radio de Joe	Радио Джо
Items/DesRadioReciver	This is surely an old device, but it looks like it could pick up transmissions from afar.	Това със сигурност е стар уред, но изглежда, че може да улавя предавания от далеч.	C'est sûrement un vieil appareil, mais on dirait qu'il pourrait capter des transmissions lointaines.	Устройство очень старое, но оно, похоже, может принимать сигналы издалека.
Items/RoomUpgradeBook1	Underground Gardening	Градинарство под земята	Jardinage Souterrain	«Подпольное выращивание растений»
Items/DesRoomUpgradeBook1	Is this book about gardening below the ground level or about hiding from the authorities? Yes.	Тази книга за градинарство под земята ли е или за криене от властите? Да.	Est-ce que ce livre parle de jardinage souterrain ou de se cacher des autorités? Oui.	Эта книга о том, как забыть про все проблемы и выращивать растения, или о том, как скрываться от властей? Да.
Items/BrokenRevolwer	Broken Revolver	Счупен револвер	Revolver cassé	Сломанный револьвер
Items/DesBrokenRevolwer	It's broken.	Счупено е.	Il est cassé.	Он сломан.
Items/Path	Path	Път	Chemin	Тропа
Items/SignTraps	Traps Sign	Капани Знаци	Panneau des pièges	Табличка о капканах
Items/HunterNote	Huntress's note	Бележка от Ловджийката	Note de la Chasseuse	Записка охотницы
Items/Bunk	Bunk	Бункер	Couchette	Койка
Items/DescBunk	An austere bed. Sleep is obviously not the priority here.	Едно спартанско легло. Явно сънят не е приоритет тук.	Un lit austère. Le sommeil n'est évidemment pas la priorité ici.	Суровая кровать. Очевидно, сон здесь не в приоритете.
Items/FortObserverMonitor	Monitor	Монитор	Moniteur	Монитор
Items/FortObserverMonitorStorage	Monitor	Монитор	Moniteur	Монитор
Items/DescFortObserverMonitor	One of the monitors of the Fort Observer base. Who observes the observers?	Един от мониторите на базата на Форт Наблюдател. Кой наблюдава наблюдателите?	L'un des moniteurs de la base de Fort Observer. Qui observe les observateurs?	Один из мониторов базы «Наблюдатель». Кто же наблюдает за наблюдателями?
Items/FortObserverPass	Access card	Карта за достъп	Carte d'accès	Пропуск
Items/DescFortObserverPass	An access card to somewhere. Found in the plane wreckage.	Карта за достъп до някъде. Намерена в останките на самолета.	Une carte d'accès pour quelque part. Trouvé dans l'épave de l'avion.	Пропуск в какое-то место. Найден в обломках самолета.
Items/AICore	AI core	ядрена сърцевина	Noyau d'IA	Ядро ИИ
Items/DescAICore	The core of Fort Observer's security AI.	Ядрото на AI за сигурност на Fort Observer.	Le cœur de l'IA de sécurité de Fort Observer.	Ядро ИИ системы безопасности базы «Наблюдатель».
Items/AICoreCase	AI core case	ядро на изкуствения интелект	Boîtier du noyau d'IA	Корпус ядра ИИ
Items/DescAICoreCase	A casing of security AI core. Maybe something could be put inside?	Капак за ядро на сигурност. Може би нещо може да се сложи вътре?	Un boîtier du noyau d'IA de sécurité. Peut-être que quelque chose pourrait être mis à l'intérieur?	Корпус ядра ИИ системы безопасности. Может, получится что-нибудь поставить внутрь?
Items/FakeAICore	Fake AI core	Фалшив изкуствен интелект	Faux noyau d'IA	Фальшивое ядро ИИ
Items/DescFakeAICore	A fake AI core with a custom inside	Фалшив AI ядро с персонализиран вътрешен механизъм	Un faux noyau d'IA avec un contenu personnalisé	Фальшивое ядро ИИ с муляжом внутри
Items/RocketPartCore	Rocket control module	Модул за управление на ракетата	Module de contrôle de fusée	Модуль управления ракетой
Items/DescRocketPartCore	An AI-based rocket control module. Crucial for your escape plan.	AI модул за управление на ракета. Важен за твоя план за бягство.	Un module d'IA de contrôle de fusée. Crucial pour votre plan d'évasion.	Модуль управления ракетой на базе ИИ. Главный элемент вашего плана побега.
Items/Bigos	Bigos	Бигос	Bigos	Бигос
Items/DesKeyBigos	A hearty, aromatic cabbage and meat stew. A recipe from Grandma Marianna.	Силно, ароматно ястие от зеле и месо. Рецепта от баба Марианна.	Un ragoût au chou et à la viande, copieux et aromatique. Une recette de grand-mère Marianna.	Сытное, ароматное рагу из капусты и мяса. Рецепт бабушки Марианны.
Items/BlueberrySmoothie	Blueberry smoothie	Смути от боровинки	Smoothie aux myrtilles	Черничный смузи
Items/DesKeyBlueberrySmoothie	Condensed taste of the forest. You can't go wrong with this one.	Сгъстен вкус от гората. Няма как да сбъркаш с това.	Un pur concentré de la forêt. Pas de mauvaises surprise avec celui là.	Концентрированный вкус леса. Беспроигрышный вариант.
Items/CarrotSoup	Carrot soup	Супа от моркови	Soupe de carottes	Морковный суп
Items/DesKeyCarrotSoup	Loved by babies and preppers worldwide.	Обичан от бебета и препъри по целия свят.	Aimée par les enfants et les Preppers du monde entier.	Любимое блюдо малышей и выживальщиков всего мира.
Items/BeetSoup	Beet soup	Супа от цвекло	Soupe de betteraves	Свекольный суп
Items/DesKeyBeetSoup	A delicious sour beet soup.	Вкусна кисела супа от цвекло.	Une délicieuse soupe de betteraves, sucrée, salée.	Вкусный кисленький борщец.
Items/bobPlant	Bob the Plant	Растението Боб	Bob la plante	Растение по имени Боб
Items/KitchenCupboard	Kitchen Cupboard	Кухненски шкаф	Placard de cuisine	Кухонный шкаф
Items/Food	Food	Храна	Nourriture	Еда
Items/BookSet	Book Set	Комплект книги	Ensemble de Livres	Стопка книг
Items/Barrel	Barrel	Варел	Baril	Бочка
Items/WorkshopShelf	Workshop Shelf	Работна маса	Étagère d'atelier	Стеллаж мастерской
Items/Material	Material	Материали	Matériaux	Материал
Items/Keycard	Keycard	Карта за достъп	Clé magnétique	Ключ-карта
Items/Gem	Gem	Камък	Gemme	Самоцвет
Items/BoxSmall	Small Box	Малък сандък	Petite Boîte	Маленькая  коробка
Items/BoxLarge	Large Box	Голяма кутия	Grande Boîte	Большая коробка
Items/Plant	Plant	Засади	Plante	Растение
Items/Ammo	Ammo	Муниции	Munitions	Боеприпасы
Items/Chest	Chest	Сандък	Coffre	Сундук
Items/Scraps	Scraps	Отпадъци	Débris	Мусор
Items/Seed	Seed	Семе	Graine	Семена
Items/Bait	Bait	Примамка	Appât	Приманка
Items/Plate	Plate	Броня	Assiette	Тарелка
Items/Trap	Trap	Капан	Piège	Ловушка
Items/Trophy	Trophy	Трофей	Trophée	Трофей
Items/MinutemanLetter	Minuteman's letter	Писмо от Минуteman	Lettre de Minuteman	Письмо Минитмена
Items/Cup	Cup	Чаша	Tasse	Стакан
Items/ChickenLeg	Chicken leg	Пилешка бутче	Cuisse de poulet	Куриный окорочок
Items/DesKeyChickenLeg	Very tasty, and you can throw a bone to a local dog. If you see one.	Много вкусно, а можеш и да хвърлиш кост на местно куче. Ако видиш такова.	Très savoureux, et vous pouvez jeter l'os à un chien du coin. Si vous en voyez un.	Очень вкусный. А косточку можно бросить соседской собаке. Если найдете ее, конечно.
Items/MinesElevatorController	Elevator Controller	Контролер на асансьора	Panneau de contrôle de l'Ascenseur	Управление лифтом
Items/MinesElevator	Elevator	Асансьор	Ascenseur	Лифт
Items/PlaneFortObserver	Airplane	Самолет	Avion	Самолет
Items/DesPlaneFortObserver	These fighter aircrafts are a bit outdated, but still fit for basic surveillance and control tasks. 	Тези изтребители са малко остарели, но все още стават за основни задачи по наблюдение и контрол.	Ces avions de combat sont un peu dépassés, mais toujours adaptés aux tâches de base de surveillance et de contrôle.	Эти истребители немного устарели, но все еще годятся для выполнения задач по наблюдению и контролю.
Items/AntenaForObserver	Antenna	Антена	Antenne	Антенна
Items/DesAntenaForObserver	Allows for picking up radio transmissions from great distances.	Позволява да се приемат радиопредавания от големи разстояния.	Permet de capter les transmissions radio sur de grandes distances.	Позволяет принимать радиопередачи на больших расстояниях.
Items/ArtificialHorizon	Artificial Horizon	Хоризонт на изработката	Horizon artificiel	Авиагоризонт
Items/DesArtificialHorizon	An advanced gyroscopic flight instrument. An essential component for building a rocket.	Напреднал жироскопски полетен инструмент. Необходима част за изработката на ракета.	Un instrument de vol gyroscopique avancé. Un élément essentiel pour la construction d'une fusée.	Современный гироскопический инструмент. Важный компонент для создания ракеты.
Items/DesKeyDryier	Useful for drying certain fruits and vegetables.	Полезна за сушене на определени плодове и зеленчуци.	Utile pour sécher certains fruits et légumes.	Пригодится для сушки фруктов и овощей.
Items/Granade	Grenade	Граната	Grenade	Граната
Items/DesKeyGranade	A basic grenade. Deals some damage and stuns enemies. You can also disassemble it to get its recipe.	Основна граната. Нанася някакви щети и зашеметява враговете. Можеш също да я разглобиш, за да получиш рецептата ѝ.	Une grenade basique. Inflige des dégâts et étourdit les ennemis. Vous pouvez également la démonter pour en obtenir la recette.	Простая граната. Наносит урон и оглушает врагов. Ее можно разобрать, чтобы получить рецепт.
Items/SmokeBomb	Smoke Bomb	Димен гранатомет	Fumigène	Дымовая шашка
Items/DesKeySmokeBomb	Great for getting out of tough situations. Stuns and pushes back enemies around you. You can also disassemble it to get its a recipe.	Страхотно за излизане от трудни ситуации. Зашеметява и отблъсква враговете около теб. Можеш също да го разглобиш, за да получиш рецептата му.	Idéal pour se sortir des situations difficiles. Étourdit et repousse les ennemis autour de vous. Vous pouvez également le démonter pour en obtenir la recette.	Отлично подходит для выхода из трудных ситуаций. Оглушает и разгоняет врагов вокруг. Ее также можно разобрать, чтобы получить рецепт.
Items/Dynamit	Dynamite	Динамит	Dynamite	Динамит
Items/DesKeyDynamit	Causes a powerful explosion that deals a lot of damage. You can also disassemble it to get its recipe.	Причинява мощна експлозия, която нанася много щети. Можеш също да го разглобиш, за да получиш рецептата му.	Provoque une puissante explosion qui inflige beaucoup de dégâts. Vous pouvez également la démonter pour en obtenir la recette.	Вызывает мощный взрыв, который наносит большой урон. Его можно разобрать, чтобы получить рецепт.
Items/ComicsSet	A collection of comics	Колекция от комикси	Une collection de Comics	Коллекция комиксов
Items/DesComicsSet	A remarkable collection of comics, from pulp superhero stuff to some whacky zines.	Забележителна колекция от комикси, от класически супергеройски истории до някои шантави списания.	Une collection remarquable de bandes dessinées, des trucs de super-héros et quelques magazines farfelus.	Замечательная коллекция комиксов, от историй про супергероев до сумасшедшего самиздата.
Items/RocketLauncher	Rocket Launcher	Ракетата е готова за изстрелване. Натисни I2, за да я използваш.	Lanceur de fusée	Ракетная установка
Items/BrazenSerpentModel	Brazen Serpent satellite model	Модел на сателит Brazen Serpent	Modèle de satellite Serpent d'Airain	Модель спутника «Медный змий»
Items/DesKeyBrazenSerpentModel	This is the small metal thing that causes all our problems. A satellite making us numb, docile, or violent.	Това е малката метална джаджа, която ни създава всички проблеми. Сателит, който ни прави безчувствени, послушни или агресивни.	C'est le truc en métal qui cause tous nos problèmes. Un satellite qui nous rend somnolents, dociles ou violents.	Маленькая металлическая штучка, которая виновата во всех наших проблемах. Она делает нас черствыми, послушными или жестокими.
Items/MindControlTool	Mind control tool	Инструмент за контрол на ума	Outil de contrôle mental	Устройство для контроля разума
Items/DesKeyMindControlTool	A prototype of a simple mind control tool. Later the method of sending waves from great distances was devised.	Прототип на прост инструмент за контрол на ума. По-късно беше измислен метод за изпращане на вълни от големи разстояния.	Un prototype de contrôle mental simple. Plus tard, la méthode d'envoi d'ondes à grande distance a été conçue.	Прототип простого устройства для управления разумом. Позже был разработан метод трансляции волн на большие расстояния.
Items/Scans	Brain scans and X-rays	Скенер на мозъка и рентгенови снимки	Scanners cérébraux et radios	Снимки мозга и рентгены
Items/DesKeyScans	Brain scans and X-rays of dogs that were test subjects. Poor animals.	Мозъчни сканирания и рентгенови снимки на кучета, които са били опитни животни. Горките животни.	Scanners cérébraux et radios de chiens qui servaient de cobayes. Pauvres animaux.	Снимки мозга и рентгены подопытных собак. Бедные животные.
Items/MushroomSoupCan	Canned Mushroom Soup	Супа от гъби в консерва	Soupe de Champignons en boîte	Консерв. грибной суп
Items/DesKeyMushroomSoupCan	Canned mushroom soup. It should last long.	Консервирана гъбена супа. Трябва да издържи дълго.	Une boîte de conserve de soupe de champignons. Devrait se conserver longtemps.	Консервированный грибной суп. Долго не портится.
Items/CucumberSoupCan	Canned Cucumber Soup	Консервирана супа от краставици	Soupe de Concombres en boîte	Консерв. рассольник
Items/DesKeyCucumberSoupCan	Canned cucumber soup. It should last long.	Консервирана супа от краставици. Трябва да издържи дълго.	Une boîte de conserve de soupe de concombres. Devrait se conserver longtemps.	Консервированный рассольник. Долго не портится.
Items/TomatoSoupCan	Canned Tomato Soup	Консервирана доматена супа	Soupe de Tomates en boîte	Консерв. томатный суп
Items/DesKeyTomatoSoupCan	Canned tomato soup. It should last long.	Консервирана доматена супа. Трябва да издържи дълго.	Une boîte de conserve de soupe de tomates. Devrait se conserver longtemps.	Консервированный томатный суп. Долго не портится.
Items/BeetSoupCan	Canned Beet Soup	Супа от консервирани цвекло	Soupe de Betteraves en boîte	Консерв. борщ
Items/DesKeyBeetSoupCan	Canned beet soup. It should last long.	Консервирана супа от цвекло. Трябва да издържи дълго.	Une boîte de conserve de soupe de betteraves. Devrait se conserver longtemps.	Консервированный борщ. Долго не портится.
Items/CarrotSoupCan	Canned Carrot Soup	Супа от моркови в консерва	Soupe de Carottes en boîte	Консерв. морковный суп
Items/DesKeyCarrotSoupCan	Canned carrot soup. It should last long.	Консервирана супа от моркови. Трябва да издържи дълго.	Une boîte de conserve de soupe de carottes. Devrait se conserver longtemps.	Консервированный морковный суп. Долго не портится.
Items/VegetableSoupCan	Canned Vegetable Soup	Консервирана зеленчукова супа	Soupe de Légumes en boîte	Консерв. овощной суп
Items/DesKeyVegetableSoupCan	Canned vegetable soup. It should last long.	Консервирана зеленчукова супа. Трябва да издържи дълго.	Une boîte de conserve de soupe de légumes. Devrait se conserver longtemps.	Консервированный овощной суп. Долго не портится.
Items/ControlInstruction	Inspection Protocol	Протокол за проверка	Protocole d'Inspection	Протокол инспекции
Items/DesKeyControlInstruction	A secret protocol for the house inspection used by the Agency.	Секретен протокол за проверка на дома, използван от Агенцията.	Un protocole secret pour l'inspection des maisons utilisé par l'Agence.	Секретный протокол Агентства для инспекции домов.
Items/MinutLetterWaterControl	Minuteman's Letter: Water Control Warning	Писмо от Минуteman: Предупреждение за контрол на водата	Lettre du Minuteman: Avertissement sur le contrôle de l'eau	Письмо Минитмена: предупреждение о проверках воды
Items/DesKeyMinutLetterWaterControl	A letter from a stranger who calls himself "The Minuteman".	Писмо от непознат, който се нарича "Минуteman".	Une lettre d'un inconnu qui se fait appeler "Le Minuteman".	Письмо от незнакомца, который называет себя Минитменом.
Items/MinutLetterElectricityControl	Minuteman's Letter: Electricity Control Warning	Писмо от Минуteman: Предупреждение за контрол на електричеството	Lettre du Minuteman: Avertissement sur le contrôle de l'électricité	Письмо Минитмена: предупреждение о проверках электричества
Items/DesKeyMinutLetterElectricityControl	A letter from a stranger who calls himself "The Minuteman".	Писмо от непознат, който се нарича "Минуteman".	Une lettre d'un inconnu qui se fait appeler "Le Minuteman".	Письмо от незнакомца, который называет себя Минитменом.
Items/MinutLetterCupboardControl	Minuteman's Letter: Cupboard Control Warning	Писмо от Минуteman: Предупреждение за контрол на шкафа	Lettre du Minuteman: Avertissement sur le contrôle des placards	Письмо Минитмена: предупреждение о проверках коробок
Items/DesKeyMinutLetterCupboardControl	A letter from a stranger who calls himself "The Minuteman".	Писмо от непознат, който се нарича "Минуteman".	Une lettre d'un inconnu qui se fait appeler "Le Minuteman".	Письмо от незнакомца, который называет себя Минитменом.
Items/MinutLetterCupboardControl2	Minuteman's Letter: Cupboard Control Warning 2	Писмо от Минуteman: Предупреждение за контрол на шкафа 2	Lettre du Minuteman: Avertissement sur le contrôle des placards 2	Письмо Минитмена: предупреждение об проверках коробок 2
Items/DesKeyMinutLetterCupboardControl2	A letter from a stranger who calls himself "The Minuteman".	Писмо от непознат, който се нарича "Минуteman".	Une lettre d'un inconnu qui se fait appeler "Le Minuteman".	Письмо от незнакомца, который называет себя Минитменом.
Items/PlaneWreck	Crashed Plane	Разбит самолет	Avion Écrasé	Разбившийся самолет
Items/DesKeyPlaneWreck	Military plane. Crashed. Looks oddly familiar.	Военен самолет. Катастрофирал. Изглежда странно познато.	Avion militaire. Écrasé. Semble étrangement familier.	Военный самолет. Потерпел крушение. Кажется до боли знакомым.
Items/AlarmSwitch	Signal Switch	Превключвател за сигнал	Interrupteur de signal	Переключатель для сигнала
Items/DescAlarmSwitch	Activate it on the first floor to give the Sleepless the final signal. There is no turning back after that.	Активирай го на първия етаж, за да дадеш на Безсънните последния сигнал. Няма връщане назад след това.	Activez-le au premier étage pour donner aux Éveillés le signal final. Il n'y a pas de retour en arrière après ça.	Используйте переключатель на втором этаже, чтобы подать Неспящим сигнал. После этого пути назад не будет.
Items/DiscoSwitch	Disco Switch	Превключвател за дискотека	Interrupteur Disco	Переключатель для диско
Items/DescDiscoSwitch	Just for fun. Disco's not dead.	Просто за забавление. Диското не е мъртво.	Juste pour le fun. Le Disco n'est pas mort.	Чисто для разрядки. Диско живее всех живых.
Items/Switch	Switch	Превключване	Interrupteur	Переключатель
Items/DescSwitch	Place it in a room to be able to turn everything inside it on or off. Great for power management.	Постави го в стая, за да можеш да включваш и изключваш всичко вътре. Идеално за управление на електричеството.	Placez-le dans une pièce pour pouvoir tout allumer ou éteindre en même temps. Idéal pour gérer l'alimentation électrique.	Разместите его в комнате для управления предметами. Отлично подходит для распределения энергии.
Items/DesKeyCalendar	Keep track of days and important events.	Следи дните и важните събития.	Gardez une trace des jours et des événements importants.	Помогает вести счет дней и следить за важными событиями.
Items/ArmyChest	Army Chest	Армейски сандък	Caisse de l'Armée	Армейский сундук
Items/DesKeyArmyChest	It's a basic wooden chest stamped 'ARMY'. 	Това е основна дървена сандъка с надпис "АРМИЯ".	C'est une caisse basique en bois estampillé "ARMY".	Обыкновенный деревянный сундук с надписью «АРМИЯ».
Items/Fabrics	Fabrics	Тъкани	Textiles	Ткань
Items/DesKeyFabrics	A good source of textiles.	Добър източник на текстил.	Une bonne source de tissu.	Хороший источник текстиля.
Items/FortBox	Box	Кутия	Boîte	Ящик
Items/DesKeyScraps	Scraps. Use them for crafting or sell to Joe.	Отпадъци. Използвай ги за изработка или продай на Джо.	Débris. Utilisez-les pour fabriquer des choses ou vendez-les à Joe.	Металлолом. Можно создавать предметы или продать Джо.
Items/VendingMachine	Vending Machine	Автомат за напитки	Distributeur de boisson	Торговый автомат
Items/RoomUpgradeBook2	Pump It Up: Useful Room Upgrades	Помпай го: Полезни ъпгрейди за стаята	Pump It Up: améliorations utiles de pièce	Непыльная работенка: полезные улучшения для комнаты
Items/DesRoomUpgradeBook2	Learn how to make specific room upgrades: a pumphouse and a workshop.	Научи как да правиш специфични подобрения за стаи: помпена станция и работилница.	Apprenez à effectuer des améliorations spécifiques de pièces: une station de pompage et un atelier.	Научитесь производить особые улучшения для комнаты – насос и мастерскую.
Items/RoomUpgradeBook3	Mr. Freeze: More Useful Room Upgrades	Г-н Фриз: По-полезни надстройки за стаите	Mr. Freeze: Améliorations de pièces plus utiles	Мистер Фриз: новые полезные улучшения для комнаты
Items/DesRoomUpgradeBook3	Learn how to make specific room upgrades: a powerhouse and a freezer.	Научи как да направиш конкретни подобрения за стаи: мощна стая и фризер.	Apprenez à effectuer des améliorations spécifiques de pièces: une centrale électrique et une chambre froide.	Научитесь производить особые улучшения для комнаты – генератор и морозилку.
Items/DescRocketLauncher	The final button to push.	Последният бутон.	Le dernier bouton à pousser.	Нажмете на нее – и все закончится.
Items/Hydrogen	Hydrogen	Водород	Hydrogène	Водород
Items/DesKeyRocketPartHydrogen	Also known as rocket fuel. Depends who you ask.	Също известен като ракетно гориво. Зависи кого питаш.	Aussi connu sous le nom de carburant pour fusée. Ça dépend à qui vous demandez.	Также известен как ракетное топливо. Все зависит от восприятия.
Items/DesKeyAmo	Basic ammo. Good for revolvers and rifles.	Основен боеприпас. Подходящ за револвери и пушки.	Munition de base. Bon pour les revolvers et les fusils	Обычные патроны. Подходят для револьверов и винтовок.
Items/Irrigator	Irrigator	Поливна система	Arroseur	Ороситель
Items/DesKeyIrrigator	Fill it with water and it will automatically water all the plants in the room.	Напълни го с вода и то автоматично ще напои всички растения в стаята.	Remplissez-le d'eau et il arrosera automatiquement toutes les plantes de la pièce dans laquelle il se trouve.	Заполните его водой, и он будет автоматически поливать все растения в комнате.
Items/Refueler	Refueler	Зареждач	Ravitailleur	Заправщик
Items/DesKeyRefueler	Fill it with fuel and it will automatically refuel all the generators in the room.	Напълни го с гориво и то автоматично ще зареди всички генератори в стаята.	Remplissez-le de carburant et il ravitaillera automatiquement tout les générateurs de la pièce dans laquelle il se trouve.	Заполните его топливом, и он будет автоматически заправлять все генераторы в комнате.
Items/bobHideoutPC	Bob's Computer	Компютърът на Боб	Ordinateur de Bob	Компьютер Боба
