# key	english	bulgarian	french	russian
Dialogues/prepScarecrow2	<voice type=laugh>\nOh look, it’s him again. Or her? Them? I don’t know how gender works in scarecrows.	<voice type=laugh>\nО, виж го, той е тук отново. Или тя? Те? Не знам как работи пола при стражи.	<voice type=laugh>\nOh, c'est encore lui. Ou elle? Ou eux? Je ne sais pas comment fonctionne le genre chez les épouvantails.	<voice type=laugh>\nО, гляньте-ка, опять он. Или она? Оно? Гендерные различия пугал – не мой конек.
Dialogues/willMazeRun3	<voice type=order>\nGreat! I hope it's enough to stop those pesky predators.\n<voice type=thanks>\nThere is something I would like to show you.	<voice type=order>\nЧудесно! Надеждавам се да е достатъчно, за да спреш тези досадни хищници.\n<voice type=thanks>\nИмам нещо, което искам да ти покажа.	<voice type=order>\nGénial! J'espère que ça suffira pour arrêter ces satanés prédateurs.\n<voice type=thanks>\nIl y a quelque chose que j'aimerais te montrer.	<voice type=order>\nКласс! Надеюсь, этих наглых хищников удастся остановить.\n<voice type=thanks>\nЯ хочу кое-что тебе показать.
Dialogues/willMazeRun4	<voice type=disappointment>\nRemember the lake? The one that you were not supposed to see, but you did, being nosy as usual.	<voice type=disappointment>\nСпомняш ли си езерото? Това, което не трябваше да виждаш, но го видя, защото си любопитен както винаги.	<voice type=disappointment>\nTu te souviens du lac? Celui que tu n'étais pas censé voir, mais que tu as vu, curieux comme tu es.	<voice type=disappointment>\nПомнишь озеро? То, на которое тебе нельзя было ходить, а ты все равно пошел, назойливый такой.
Dialogues/prepMazeRun5	<voice type=question>\nRight. What about the lake?	<voice type=question>\nДобре. А какво е с езерото?	<voice type=question>\nC'est vrai. Et ce lac, alors?	<voice type=question>\nАга. Что с ним?
Dialogues/willMazeRun6	Next to it, you will find an entrance to the wheat maze.\n<voice type=laugh>\nIt's my little project. Designed as a kids' attraction. But maybe you'll like it too? \n<voice type=order>\nGive it a try and tell me what you think!	До него ще намери вход към пшеничното лабиринт.\n<voice type=laugh>\nТова е моят малък проект. Направена като детска атракция. Но може да ти хареса и ти?\n<voice type=order>\nОпитай и кажи ми какво мисли!	A côté de lui, tu trouveras l'entrée du labyrinthe de blé. \n<voice type=laugh>\nC'est ma petite œuvre. Conçue comme une attraction pour enfants. Mais peut-être que ça te plaira aussi?\n<voice type=order>\nEssaie-le et dis-moi ce que tu en penses!	Рядом с ним ты найдешь вход в мой пшеничный лабиринт.\n<voice type=laugh>\nЭто мой небольшой проект. Я задумал его как аттракцион для детей. Но, может, но и тебе придется по вкусу? \n<voice type=order>\nПройдись по нему и скажи, как тебе!
Dialogues/prepMazeRun7	<voice type=disappointment>\nA maze. Sure, obviously.	<voice type=disappointment>\nЛабиринт. Разбира се, очевидно.	<voice type=disappointment>\nUn labyrinthe. Bien sûr, certainement.	<voice type=disappointment>\nЛабиринт. Ну конечно.
Dialogues/willMazeRun8	Once you enter the maze you have to beat it in one go.\nI mean you can leave whenever you want, but if you do you will miss out on some rewards.	Веднъж влезли в лабиринта, трябва да го преминете наведнъж.\nИскам да кажа, можеш да си тръгнеш когато искаш, но ако го направиш, ще пропуснеш някои награди.	Une fois que tu entres dans le labyrinthe, tu dois le traverser en une seule fois. Je veux dire tu peux en sortir quand tu veux, mais si tu sors, tu n'auras pas certaines récompenses.	Как только попадешь в лабиринт, тебе придется пройти его до конца за раз.\nНу, ты, конечно, можешь уйти, но тогда получишь не все награды.
Dialogues/prepMazeRun9	I will keep it in mind, I guess.	Ще го имам предвид, предполагам.	Je crois que je n'oublierai pas.	Буду иметь это в виду.
Dialogues/willMazeRunIncomplite1	<voice type=question>\nHave you checked out my crop maze?	<voice type=question>\nВиждаше ли твоята пътека от култури?	<voice type=question>\nTu as essayé mon labyrinthe?	<voice type=question>\nТы уже побывал в моем лабиринте?
Dialogues/prepMazeRunIncomplite2	<voice type=negation>\nNo, not yet.	<voice type=negation>\nНе, още не.	<voice type=negation>\nNon, pas encore.	<voice type=negation>\nПока нет.
Dialogues/prepFishingRodInspect	<voice type=question>\nAn old fishing rod. Maybe I could use it somehow? I'll ask Will.	<voice type=question>\nСтара риболовна пръчка. Може би мога да я използвам някак? Ще попитам Уил.	<voice type=question>\nUne vieille canne à pêche. Peut-être que je vais pouvoir l'utiliser d'une manière ou d'une autre? Je vais demander à Will.	<voice type=question>\nСтарая удочка. Может, ей найдется какое-то применение? Спрошу у Уилла.
Dialogues/prepFishingRod1	<voice type=question>\nWill?	<voice type=question>\nЩе ли?	<voice type=question>\nWill?	<voice type=question>\nУилл?
Dialogues/willFishingRod2	<voice type=question>\nYes?	<voice type=question>\nДа?	<voice type=question>\nOui?	<voice type=question>\nДа?
Dialogues/prepFishingRod3	I've noticed this old fishing rod.	Забелязах тази стара въдица.	J'ai remarqué cette vieille canne à pêche.	Я нашел старую удочку.
Dialogues/willFishingRod4	<voice type=question>\nYes, what about it?	<voice type=question>\nДа, какво за него?	<voice type=question>\nOui, et alors?	<voice type=question>\nИ что?
Dialogues/prepFishingRod5	Well, there is a lake nearby. The one I wasn't supposed to see, but I'm nosy, as we established.	Е, има езеро наблизо. Това, което не трябваше да виждам, но съм любопитен, както установихме.	Eh bien, il y a un lac à proximité. Celui que je n'étais pas censé voir, mais je suis un fouineur, comme vous avez déjà pu le remarquer.	Ну, рядом с ней было озеро. То, на которое мне нельзя было ходить, но я ведь назойливый.
Dialogues/willFishingRod6	<voice type=disappointment>\nGo on.	<voice type=disappointment>\nПродължавай.	<voice type=disappointment>\nContinue.	<voice type=disappointment>\nПродолжай.
Dialogues/prepFishingRod7	<voice type=question>\nCan I borrow the rod?	<voice type=question>\nМога ли да заема кърпата?	<voice type=question>\nJe peux emprunter la canne?	<voice type=question>\nМожно мне взять удочку?
Dialogues/willFishingRod8	<voice type=anger>\nThe lake is surrounded with government cameras, you remember?	<voice type=anger>\nЕзерото е заобиколено от правителствени камери, помниш ли?	<voice type=anger>\nLe lac est entouré de caméras du gouvernement, tu te souviens?	<voice type=anger>\nНа озере полно камер, забыл?
Dialogues/prepFishingRod9	<voice type=question>\nYes, and?	<voice type=question>\nДа, и какво?	<voice type=question>\nOui, et alors?	<voice type=question>\nПомню. И что?
Dialogues/willFishingRod10	<voice type=disappointment>\n...		<voice type=disappointment>\n…	<voice type=disappointment>\n...
Dialogues/prepFishingRod11	...		...	...
Dialogues/willFishingRod12	<voice type=disappointment>\nYou're unbelievable, Mr. Prepper. Sure, take it.	<voice type=disappointment>\nТи си невероятен, господин Препър. Разбира се, вземи го.	<voice type=disappointment>\nTu es incroyable, Mr. Prepper. Bien sûr, prends-la.	<voice type=disappointment>\nИнтересный ты человек, мистер Выживальщик. Конечно, бери.
Dialogues/willFishingRod13	Here, I have a few spare fishing baits.You will need them.	Ето, имам няколко резервни примамки за риболов. Ще ти трябват.	Tiens. J'ai quelques appâts. Tu en auras besoin.	У меня даже есть лишняя наживка. Тебе пригодится.
Dialogues/prepFishingRod14	<voice type=thanks>\nThanks!	<voice type=thanks>\nБлагодаря!	<voice type=thanks>\nMerci!	<voice type=thanks>\nСпасибо!
Dialogues/willFishingRod15	And if you want to bother someone about fishing, bother Henry.\nHe is a specialist in that field.	И ако искаш да притесняваш някого за риболов, притеснявай Хенри.\nТой е специалист в тази област.	Et si tu veux embêter quelqu'un avec des histoires de pêche, embête Henry. C'est un spécialiste dans ce domaine.	А если понадобится помощь с рыбалкой, обращайся к Генри.\nОн в этой области специалист.
Dialogues/henFishingRod16	Cluck! Cluck!	Кудкудяк! Кудкудяк!	Cot! Cot!	Куд-куда!
Dialogues/prepFishingRod17	...		...	...
Dialogues/willAfterMaze1	<voice type=question>\nHave you visited the maze?	<voice type=question>\nПосети ли лабиринта?	<voice type=question>\nTu es allé voir le labyrinthe?	<voice type=question>\nБыл в лабиринте?
Dialogues/prepAfterMaze2	<voice type=acceptance>\nActually, yes.	<voice type=acceptance>\nВсъщност, да.	<voice type=acceptance>\nEuh, oui.	<voice type=acceptance>\nКстати, да.
Dialogues/willAfterMaze3	<voice type=question>\nHow did you like it?	<voice type=question>\nКак ти хареса?	<voice type=question>\nTu as aimé?	<voice type=question>\nИ как тебе?
Dialogues/prepAfterMaze4	<voice type=question>\nYou said it is a kids' attraction?	<voice type=question>\nКаза, че е атракция за деца?	<voice type=question>\nVous avez dit que c'était une attraction pour enfants?	<voice type=question>\nЭто детский аттракцион, говоришь?
Dialogues/willAfterMaze5	<voice type=laugh>\nYes! It's a bit unconventional, I know, but I'm sure they'll love it.	<voice type=laugh>\nДа! Звучи малко нетрадиционно, знам, но си сигурен, че ще им хареса.	<voice type=laugh>\nOui! C'est pas très conventionnel, je sais, mais je suis sûr qu'ils vont adorer.	<voice type=laugh>\nДа! Знаю, немного необычно, но уверен, деткам понравится.
Dialogues/prepAfterMaze6	<voice type=negation>\nI don't know. But I almost died there.	<voice type=negation>\nНе знам. Но почти умрях там.	<voice type=negation>\nJe ne sais pas. Mais j'ai failli y mourir.	<voice type=negation>\nНасчет деток не знаю, но я в нем чуть не умер.
Dialogues/willAfterMaze7	<voice type=question>\nOh. But did you like it?	<voice type=question>\nО. Но ти хареса ли?	<voice type=question>\nOh. Mais est-ce que ça t'a plu?	<voice type=question>\nОго. Но тебе ведь понравилось?
Dialogues/prepAfterMaze8	<voice type=disappointment>\nUhm...\n<voice type=acceptance>\nYeah, kind of.	<voice type=disappointment>\nЕх...\n<voice type=acceptance>\nДа, нещо такова.	<voice type=disappointment>\nEuh... \n<voice type=acceptance> \nOuais, on peut dire ça comme ça.	<voice type=disappointment>\nЭм...\n<voice type=acceptance>\nНу да, типа того.
Dialogues/prepAfterMaze9	<voice type=disappointment>\n<I>I'm glad the Agency gave him a farm to supervise and not a kindergarten.</I>	<voice type=disappointment>\n<I>Радвам се, че Агенцията му даде ферма за надзор, а не детска градина.</I>	<voice type=disappointment>\n<I>Je suis content que l'Agence lui ait donné une ferme à surveiller, et pas un jardin d'enfants.</I>	<voice type=disappointment>\n<I>Хорошо, что Агентство отправило его на ферму, а не в детский сад.</I>
Dialogues/willProtectFarmIncomplite1	<voice type=question>\nHow is it going with the traps? Everything fine?	<voice type=question>\nКак вървят капаните? Всичко е наред?	<voice type=question>\nEt les pièges? Tout va bien?	<voice type=question>\nКак там с капканами? Все нормально?
Dialogues/prepProtectFarmIncomplite2	Nothing new, just wolves and foxes from time to time.	Нищо ново, само вълци и лисици от време на време.	Rien de nouveau, juste des loups et des renards de temps en temps.	Ничего нового, только волки да лисы.
Dialogues/willAnimalsMissingSecond1	<voice type=fear>\nMr. Prepper! A tragedy! It happened again!\n<voice type=fear>\nThe animals are missing! Please help me!	<voice type=fear>\nГ-то Препър! Трагедия! Пак се случи!\n<voice type=fear>\nЖивотните са изчезнали! Помоги ми моля!	<voice type=fear>\nM. Prepper! Une tragédie! C'est arrivé encore une fois!\n<voice type=fear>\nLes animaux ont disparu! Aide-moi, s'il te plaît!	<voice type=fear>\nМистер Выживальщик! Беда! Это снова случилось!\n<voice type=fear>\nЖивотные пропадают! Пожалуйста, помоги!
Dialogues/prepAnimalsMissingSecond2	<voice type=disappointment>\nAh, damn, I thought it was over. Don't worry too much, Will, I'll do my best to find them.	<voice type=disappointment>\nАх, добре, мислех, че е свършило. Не се притеснявай толкова, Уил, ще се опитам да ги намеря.	<voice type=disappointment>\nAh, zut, je pensais que c'était fini. Ne vous inquietez pas trop, Will, je vais faire de mon mieux pour les retrouver.	<voice type=disappointment>\nВот черт, я думал, мы с этим разобрались. Ты только не переживай, Уилл, я постараюсь найти их.
Dialogues/prepAnimalsMissingSecond3	<voice type=order>\nI'll start with checking the traps.	<voice type=order>\nЩе започна с проверка на капаните.	<voice type=order>\nJe vais commencer par vérifier les pièges.	<voice type=order>\nЯ начну с проверки капканов.
Dialogues/willAnimalsMissingSecondIncomplite1	<voice type=fear>\nWhat happened this time?	<voice type=fear>\nКакво стана този път?	<voice type=fear>\nQu' est-ce qu' il s'est passé cette fois?	<voice type=fear>\nЧто случилось на этот раз?
Dialogues/prepAnimalsMissingSecondIncomplite2	<voice type=negation>\nDon't know yet, will investigate.	<voice type=negation>\nНе знам още, ще разследвам.	<voice type=negation>\nJe ne sais pas encore, je vais enquêter.	<voice type=negation>\nПока не знаю, но разберусь.
Dialogues/prepAgentMaterial1	Hey, Will. I found this in one of the traps.	Хей, Уил. Намерих това в една от капаните.	Hé, Will. J'ai trouvé ça dans un des pièges.	Привет, Уилл. В одном из капканов я нашел вот это.
Dialogues/prepAgentMaterial2	<voice type=question>\nAny idea how it could get there?	<voice type=question>\nНякаква идея как е стигнало там?	<voice type=question>\nVous avez une idée de comment ce truc a pu arriver ici?	<voice type=question>\nНе знаешь, как это туда попало?
Dialogues/willAgentMaterial3	<voice type=negation>\nNo... but it looks like... A fabric. A shred of a piece of clothing?	<voice type=negation>\nНе... но изглежда като... Някаква тъкан. Малко парче от дреха?	<voice type=negation>\nNon... mais on dirait... Un tissu. Un lambeau de vêtement?	<voice type=negation>\nНет... Но, кажется, это.. ткань. Обрывок одежды?
Dialogues/prepAgentMaterial4	That's what I was thinking too. I'll ask around.	Точно това си мислех и аз. Ще попитам наоколо.	C'est ce que je pense aussi. Je vais demander autour de moi.	Вот и я так подумал. Надо будет поспрашивать.
Dialogues/willRand1	<voice type=anger>\nI don't know why Agency chose me to supervise the farm. I knew a thing or two about fishing, but I'd never been a farmer.	<voice type=anger>\nНе знам защо Агенцията избра мен да надзирам фермата. Знаех малко за риболов, но никога не съм бил фермер.	<voice type=anger>\nJe ne sais pas pourquoi l'Agence m'a choisi pour superviser la ferme. Je m'y connaissais un peu en pêche, mais je n'ai jamais été fermier.	<voice type=anger>\r\nПонятия не имею, почему Агентство назначило меня следить за фермой. Я немного разбираюсь в рыбалке, но у меня нет опыта в фермерстве.
Dialogues/willRand2	I once found a book. Judging by the title, it could have been a handbook of animal husbandry.\n<voice type=disappointment>\nBut no, it was some kind of a weird parable. Or, well, perhaps I just hadn't understood it.	Един път намерих книга. Съдейки по заглавието, може да е била ръководство за живот с животните.\n<voice type=disappointment>\nНо не, това беше някаква странна притча. Или, добре, може би просто не я разбирах.	Une fois, j'ai trouvé un livre. À en juger par le titre, j'ai pensé qu'il s'agissait d'un manuel d'élevage.\n<voice type=disappointment>\nMais non, c'était une sorte de parabole bizarre. Ou alors c'est peut-être que j'ai tout simplement pas compris.	Как-то раз мне попалась одна книга. Судя по названию, можно было подумать, что она о животноводстве.\n<voice type=disappointment>\nНо нет, это была какая-то странная притча. Ну, или я просто ничего не понял.
Dialogues/willRand3	<voice type=thanks>\nI used to subscribe some good magazines. American Angler, Angler's World, Super Carp... \n<voice type=anger>\nNow only Our Truth appears in the mail. Bless the President.	<voice type=thanks>\nПреди се абонирах за някои добри списания. American Angler, Angler's World, Super Carp... \n<voice type=anger>\nСега в пощата излиза само Our Truth. Боже, пази президента.	<voice type=thanks>\nAvant, je m'abonnais à de bons magazines. Le Pêcheur Américain, Le Monde de la Pêche, Super Carpe... \n<voice type=anger>\nMaintenant, dans ma boîte, il n'y a plus que Notre Vérité. Que Dieu bénisse le président.	<voice type=thanks>\nРаньше я подписывался на хорошие журналы. «Американский рыбак», «Рыболовный мир», «Суперкарп»... \n<voice type=anger>\nТеперь мне на почту приходит только «Наша правда». Боже, храни президента.
Dialogues/willRand4	<voice type=order>\nMany mornings I say to myself: today I will put this farm back on its feet!\n<voice type=disappointment>\nBut it's just... too exhausting. And the Agency is not helping much.	<voice type=order>\nМного сутрини си казвам: днес ще върна тази ферма в крак!\n<voice type=disappointment>\nНо просто... е твърде изтощително. А Агенцията не помага много.	<voice type=order>\nPlusieurs fois, le matin, je me suis dit : aujourd'hui je vais remettre cette ferme sur pied!\n<voice type=disappointment>\nMais c'est tout simplement... trop épuisant. Et l'Agence ne m'aide pas beaucoup.	<voice type=order>\r\nСколько раз я вставал с постели и думал: сегодня эта ферма обязательно станет прежней!\r\n<voice type=disappointment>\r\nНо это так... утомительно. И Агентство почти не помогает.
Dialogues/willRand5	<voice type=laugh>\nI used to be a bit of an explorer like you, but then a goat bit my knee. 	<voice type=laugh>\nПреди бях като те, исках да изследвам, но след това коза ми ядe коляното.	<voice type=laugh>\nJ'étais un peu explorateur, comme toi, mais une chèvre m'a mordu au genou.	<voice type=laugh>\nКогда-то и меня вела дорога приключений, а потом коза прокусила колено. 
Dialogues/willFindAnimals1	<voice type=upset>\nMr. Prepper...	<voice type=upset>\nГ-то Препър...	<voice type=upset>\nMr. Prepper...	<voice type=upset>\r\nМистер Выживальщик...
Dialogues/willFindAnimals2	<voice type=upset>\nIt may sound crazy, but...\nIf the traps are working correctly, it means that something or someone else than wild animals is behind this.\n<voice type=question>\nWhat if my animals are still alive and we can find them?	<voice type=upset>\nМоже да звучи безумно, но...\nАко капаните работят правилно, това означава, че нещо или някой, освен дивите животни, стои зад това.\n<voice type=question>\nКакво ако животните ми все още са живи и можем да ги намерим?	<voice type=upset>\nÇa peut sembler fou, mais... Si les pièges fonctionnent correctement, ça signifie que ce ne sont pas les animaux sauvages qui sont derrière tout ça mais quelque chose ou quelqu'un d'autre .\n<voice type=question>\nEt si mes animaux étaient toujours en vie, nous pourrions les retrouver?	<voice type=upset>\nЗвучит, конечно, бредово, но...\nЕсли ловушки исправны, то за этим стоят не дикие звери.\n<voice type=question>\nА что, если мои животные все еще живы и мы можем найти их?
Dialogues/prepFindAnimals3	Well... we can't rule it out, I guess.	Е, не можем да го изключим, предполагам.	Euh oui... on ne peut pas exclure cette possibilité.	Ну... Пожалуй, этого нельзя исключать.
Dialogues/chupaFindAnimals4	Woof!	Уф!	Ouaf!	Гав!
Dialogues/prepFindAnimals5	<voice type=acceptance>\nI may have an idea.	<voice type=acceptance>\nМоже би имам идея.	<voice type=acceptance>\nJ'ai peut-être une idée.	<voice type=acceptance>\nКажется, у меня есть идея.
Dialogues/prepFindAnimals6	These ID bands... All our animals have them. \nAnd if I'm correct, these may be tracking devices of some sort.	Тези ID ленти... Всички наши животни ги имат. \nИ ако не греша, това може да са някакви проследяващи устройства.	Ces colliers d'identification... Tous nos animaux en ont. Et si je ne me trompe pas, c'est des appareils de pistage, non?	Эти ID-ошейники... Носят все наши животные. \nЕсли не ошибаюсь, это какие-то отслеживающие устройства.
Dialogues/prepFindAnimals7a	And the only person who might know how to track them is Murricaville's technology expert, Joe.	И единственият човек, който може би знае как да ги проследи, е експертът по технологии на Мюрикавил, Джо.	Et la seule personne qui pourrait savoir comment les localiser, c'est l'expert en technologie de Murricaville, Joe.	И единственный, кому по силам их отследить – это Джо, технарь Мерикосвиля.
Dialogues/prepFindAnimals7b	<voice type=negation>\nI don't know how to track them, though. I need to find someone who knows a thing or two about such devices.	<voice type=negation>\nНе знам как да ги проследя. Трябва да намеря някой, който знае нещо за такива устройства.	<voice type=negation>\nJe ne sais pas comment les localiser. J'ai besoin de trouver quelqu'un qui s'y connaît.	<voice type=negation>\nПравда я не знаю, как отслеживать по ним животных. Надо будет найти кого-нибудь, кто разбирается в таких устройствах.
Dialogues/prepAgentLegFound1	<voice type=question>\nNow this is odd...	<voice type=question>\nСега това е странно...	<voice type=question>\nBon, ça c'est bizarre...	<voice type=question>\nСтранно..
Dialogues/prepAgentLegFound2	<voice type=order>\nSome black fabric.	<voice type=order>\nНякакъв черен плат.	<voice type=order>\nDu tissu noir.	<voice type=order>\nЭто обрывок черной ткани.
Dialogues/prepAgentLegFound3	<voice type=question>\nIs this...?	<voice type=question>\nТова ли е...?	<voice type=question>\nEst-ce que c'est... ?	<voice type=question>\nЭто?..
Dialogues/prepAgentLegFound4	<voice type=upset>\nYup, definitely there's some <color=red>blood</color> on it.	<voice type=upset>\nДа, определено има някакви <color=red>кръв</color> върху него.	<voice type=upset>\nOui, je suis sûr qu'il y a du <color=red>sang</color> dessus.	<voice type=upset>\nДа, определенно <color=red>кровь</color>.
Dialogues/prepAgentLegFound5	Where could it come from? Maybe Will has an idea.	Откъде може да е дошло? Може би Уил има идея.	D'où cela peut-il venir? Will a peut-être une idée.	Но откуда это здесь? Может, Уилл знает.
Dialogues/prepAnimalsBand1	Joe, I have a question for you.	Джо, имам въпрос към теб.	Joe, j'ai une question pour vous.	Джо, у меня вопрос.
Dialogues/joeAnimalsBand2	<voice type=order>\nShoot!	<voice type=order>\nОбличай!	<voice type=order>\nAllez-y!	<voice type=order>\nВаляй!
Dialogues/prepAnimalsBand3	Let's say I have a device that is used to track certain creatures.	Да кажем, че имам устройство, което се използва за проследяване на определени животни.	Disons que j'ai un appareil utilisé pour suivre certaines créatures.	Скажем так, у меня есть устройство, которое отслеживает определенных существ.
Dialogues/joeAnimalsBand4	<voice type=surprise>\nWhat kind of cryptid are we talking about? The Bigfoot? The Mothman? The Jersey Devil?	<voice type=surprise>\nКакъв криптид говориш? Бигфут? Мосман? Джерси Девил?	<voice type=surprise>\nDe quel type de cryptide parlons-nous? Big Foot? Mothman? Diable de Jersey?	<voice type=surprise>\nИ какую же невидаль ты имеешь в виду? Бигфута? Человека-мотылька? Дьявола из Джерси? 
Dialogues/prepAnimalsBand5	Any creature. Take a look at this.	Всяко същество. Погледни това.	N'importe quelle créature. Regardez.	Да любую. Вот, взгляни.
Dialogues/joeAnimalsBand6	Mhm... yes...	Хмм... да...	Hum... oui...	Хм... да...
Dialogues/joeAnimalsBand7	<voice type=acceptance>\nGovernment work, one hundred percent.	<voice type=acceptance>\nПравителствена работа, сто процента.	<voice type=acceptance>\nÇa, c'est un coup du gouvernement, j'en suis sûr à cent pour cent.	<voice type=acceptance>\nС этим точно связано правительство, зуб даю.
Dialogues/prepAnimalsBand8	<voice type=question>\nDo you know how can I track these?	<voice type=question>\nЗнаеш ли как да проследя тези?	<voice type=question>\nVous ne savez pas comment je pourrais les localiser?	<voice type=question>\nЕсть мысли, как лучше отследить?
Dialogues/joeAnimalsBand9	Won't be very easy...\n<voice type=acceptance>\nBut I may have an idea.	Ще не е лесно...\n<voice type=acceptance>\nНо може да имам идея.	Ça ne va pas être très facile...\n<voice type=acceptance>\nMais j'ai peut-être une idée.	Это будет непросто...\n<voice type=acceptance>\nНо, кажется, у меня появилась идея.
Dialogues/joeAnimalsBand10	Come back tomorrow, I'll come up with something.	Върни се утре, ще измисля нещо.	Revenez demain, je trouverai quelque chose.	Приходи завтра, я что-нибудь придумаю.
Dialogues/prepAnimalsBand11	<voice type=thanks>\nOkay, Joe. I'm counting on you!	<voice type=thanks>\nДобре, Джо. Считам на теб!	<voice type=thanks>\nD'accord, Joe. Je compte sur vous!	<voice type=thanks>\nХорошо. Я рассчитываю на тебя, Джо!
Dialogues/joeTrackingDevice1	<voice type=laugh>\nAnd voila! State-of-the-art, homemade, copyleft, universal ID-band finder! \nYou'll track them all down in no time!	<voice type=laugh>\nИ ето го! Най-модерният, домашен, copyleft, универсален тракер за ID-ленти!\nЩе ги намериш всички за кратко!	<voice type=laugh>\nEt voilà! Un appareil universel de recherche de colliers d'identification, à la pointe de la technologie, fait maison, avec copyleft! Vous allez tous les retrouver en un rien de temps!	<voice type=laugh>\nВуаля! Крутой, самодельный, уникальный и универсальный искатель ID-частот ошейников!\nОтслеживает любого в мгновение ока!
Dialogues/prepTrackingDevice2	<voice type=thanks>\nThanks, man! I owe you.	<voice type=thanks>\nБлагодаря, човече! Дължа ти едно.	<voice type=thanks>\nMerci! Je vous revaudrai ça.	<voice type=thanks>\nСпасибо, друг! Я твой должник.
Dialogues/prepAskJoeMaterial1	<voice type=question>\nYou're the specialist on stuff that can be found around here, do you recognize this?	<voice type=question>\nТи си специалистът по нещата, които могат да се намерят наоколо, разпознаваш ли това?	<voice type=question>\nVous êtes un spécialiste des choses qu'on peut trouver par ici, ça vous dit quelque chose, ça?	<voice type=question>\nТы же вроде у нас тут каждую пылинку знаешь, узнаешь это?
Dialogues/joeAskJoeMaterial2	<voice type=negation>\nNo. Doesn't ring a bell.	<voice type=negation>\nНе. Не ми говори нищо.	<voice type=negation>\nNon. Ça ne me dit rien.	<voice type=negation>\nНеа. Первый раз вижу.
Dialogues/prepAskJoeMaterial3	<voice type=order>\nOK, thanks.	<voice type=order>\nДобре, благодаря.	<voice type=order>\nD'accord, merci.	<voice type=order>\nЛады, спасибо.
Dialogues/prepAskBobMaterial1	<voice type=question>\nDo you recognize this piece of fabric?	<voice type=question>\nРазпознаваш ли този парче тъкан?	<voice type=question>\nEst-ce que vous reconnaissez ce morceau de tissu?	<voice type=question>\nУзнаешь этот обрывок ткани?
Dialogues/bobAskBobMaterial2	<voice type=negation>\nDo I look like a tailor? I might have a lot of books, but you seem to overestimate my knowledge.	<voice type=negation>\nИзглежда като портнер? Може да имам много книги, но сякаш преценяваш знанията ми твърде високо.	<voice type=negation>\nEst-ce que j'ai l'air d'un tailleur? J'ai peut-être beaucoup de livres, mais je crois que vous surestimez mon savoir.	<voice type=negation>\nЯ похож на портного? Может, я и книжный червь, но ты определенно переоцениваешь широту моих знаний.
Dialogues/prepAskBobMaterial3	<voice type=order>\nThanks.	<voice type=order>\nБлагодаря.	<voice type=order>\nMerci.	<voice type=order>\nСпасибо.
Dialogues/prepAskHerbMaterial1	<voice type=question>\nDo you recognize this?	<voice type=question>\nРазпознаваш ли това?	<voice type=question>\nVous ne reconnaissez pas ça?	<voice type=question>\nУзнаешь?
Dialogues/herbAskHerbMaterial2	<voice type=disappointment>\nNo, it looks like an awful material, I wouldn't use it for anything.	<voice type=disappointment>\nНе, изглежда като ужасен материал, няма да го използвам за нищо.	<voice type=disappointment>\nNon, c'est juste un bout de tissu horrible, je ne l'utiliserais pour rien au monde.	<voice type=disappointment>\nНеа, но материал ужасный, я бы такой использовать не стал.
Dialogues/prepAskHerbMaterial3	Thanks.	Благодаря.	Merci.	Спасибо.
Dialogues/prepAskPostMaterial1	<voice type=question>\nDo you recognize this?	<voice type=question>\nРазпознаваш ли това?	<voice type=question>\nVous ne reconnaissez pas ça?	<voice type=question>\nУзнаешь?
Dialogues/postAskPostMaterial2	<voice type=negation>\nNo, no idea. Does it come from a piece of clothing? I don't think it's of anyone I deliver post to.	<voice type=negation>\nНе, никаква идея. Дали не е от някаква дреха? Не мисля, че е на някого, на когото доставям поща.	<voice type=negation>\nNon, aucune idée. Ça vient d'un vêtement? Je ne pense pas que ça appartienne à quelqu'un à qui j'apporte le courrier.	<voice type=negation>\nПервый раз вижу. Это обрывок одежды? По крайней мере, из тех, кому я доставляю посылки, никто такое не носит.
Dialogues/prepAskPostMaterial3	<voice type=thanks>\nThis might be it, thanks!	<voice type=thanks>\nТова може да е всичко, благодаря!	<voice type=thanks>\nC'est peut-être ça, merci!	<voice type=thanks>\nПохоже, ты прав, спасибо!
Dialogues/prepAskNeighMaterial1	<voice type=question>\nDo you recognize this?	<voice type=question>\nРазпознаваш ли това?	<voice type=question>\nVous ne reconnaissez pas ça?	<voice type=question>\nУзнаешь?
Dialogues/neighAskNeighMaterial2	<voice type=acceptance>\nMmm... Oh yes! I think the Agents' suits are made of such fabric! They always look so smart and sleek.	<voice type=acceptance>\nХмм... О, да! Мисля, че костюмите на агентите са направени от такава материя! Винаги изглеждат толкова стилни и елегантни.	<voice type=acceptance>\nMmm... Oh si! Il me semble que les costumes des Agents sont faits dans ce tissu! Ils ont toujours un air tellement intelligent et élégant.	<voice type=acceptance>\nМ-м... да! Кажется, костюмы агентов сшиты из точно такой же ткани! Они всегда так элегантно выглядят...
Dialogues/prepAgentMaterialRecognize1	<voice type=question>\nIs the Agent limping?	<voice type=question>\nПрепърът се накланя ли?	<voice type=question>\nEst-ce que l'Agent boite?	<voice type=question>\nМне кажется, или агент хромает?
Dialogues/prepAgentMaterialRecognize2	<voice type=question>\nWait...	<voice type=question>\nЧакай…	<voice type=question>\nVoyons...	<voice type=question>\nПогоди-ка...
