# key	english
UI/Blueprint	Blueprint
Dialogues/agentBack3	<voice type=acceptance>\nThis is a commendable attitude, citizen. From today onwards, you are also on probation.\nI will come for a brief inspection regularly to check for any subversive actions or items.\nThis is standard procedure.\n<voice type=order>\nI am sure you will comply and my visits will only be a formality. Bless the President!
Dialogues/prepBack4	<voice type=negation>\nBless.
Dialogues/herbWolf1	<voice type=greeting>\nHello, buttercup! I knew you would come. \n<voice type=laugh>\nYou seem like a strong and capable young lad.
Dialogues/prepWolf2	<voice type=surprise>\nIt's been a while since anybody called me “young”.\n<voice type=question>\nAnd you are...?
Dialogues/herbWolf3	<voice type=greeting>\nOh, my manners! My name is <color=yellow>Jenny</color>. I'm the one who sent you the letter.\nSorry for the secrecy, but one cannot be too cautious these days.\nYou can usually meet me here around this time.\n<voice type=order>\nI'm a herbalist. Your contact regarding all plant matters, you could say.
Dialogues/prepWolf4	<voice type=greeting>\nPeople call me Prepper. Nice to meet you, ma'am.
Dialogues/herbWolf5	<voice type=order>\nOh, just <color=yellow>Jenny</color>, please. And let me get to the point: I could use your help.\n<voice type=anger>\nSee, I have this cozy <color=yellow>cabin</color> in the <color=yellow>woods</color>. But I can't get there now.\n<voice type=fear>\nThere is a really <color=yellow>vicious wolf</color> hanging around constantly. I've tried everything. \n<voice type=laugh>\nIt didn't fall for my package of poisonous herbs inside a delicious sausage.\n<voice type=question>\nCould you get rid of it for me?
Dialogues/prepWolf6	<voice type=question>\nHmm, a <color=yellow>wolf</color> and a <color=yellow>cabin</color> in the <color=yellow>woods</color>. Is a red hood and a basket required for this mission?
Dialogues/herbWolf7	<voice type=laugh>\nYou'd look lovely in bright red, but I'm not fashion police. Just help me so I won't have to explain big ears and teeth to anyone.\nIn return, you can take anything you want from the <color=yellow>materials</color> left in the <color=yellow>cabin</color>. I need to do some resupply soon anyway.\n<voice type=question>\nAnd once I have my cabin back, we could <color=yellow>trade</color> with each other. Do we have a deal?
Dialogues/prepWolf8	<voice type=acceptance>\nWe do. I'll deal with the <color=yellow>wolf</color>.
Dialogues/herbWolf9	<voice type=thanks>\nYou hear that, Bob? We'll have our cabin back!
Dialogues/herbShrooms1	<voice type=thanks>\nOh hello, daisy! Me and Bob thank you for defeating the big bad! I hope you didn't get hurt.
Dialogues/prepShrooms2	<voice type=disappointment>\nPlease don't call me… ah, whatever. You're welcome. And no, I'm fine.
Dialogues/herbShrooms3	Now that I have my little sweet home and workshop back, I'd like to get back to my little cooking experiments.\nMany of my friends in the town suffer from certain <color=yellow>sleep issues</color>.\n<voice type=laugh>\nA nice old lady as I am, I want to help. I am trying out various ingredients to put in… a <color=yellow>herbal tea</color>.\nI've heard about a curious kind of <color=yellow>mushrooms</color> growing in the <color=yellow>old mine</color> just outside of town.\n<voice type=question>\nCould you bring me some of those? I have a hunch they'll fit well into my new tea.
Dialogues/prepShrooms4	Curious <color=yellow>mushrooms</color>. From the <color=yellow>old mine</color>. For a <color=yellow>tea</color>.\n<voice type=acceptance>\nYeah, sure, why not.
Dialogues/herbShrooms5	<voice type=thanks>\nLovely! Just be careful, young lad, the <color=yellow>mine</color> is a dangerous place. \nBut there's also a chance you'll meet a <color=yellow>friendly soul</color> there.
Dialogues/herbGuaranaLittle1	<voice type=greeting>\nHello, buttercup! You're back already! How was the mine? Do you have the <color=yellow>mushrooms</color>?
Dialogues/prepGuaranaLittle2	<voice type=acceptance>\nNot exactly a walk in the park, but it was fine. Here they are.
Dialogues/herbGuaranaLittle3	<voice type=thanks>\nWonderful! I'll come up with a recipe for a new <color=yellow>tea</color> very soon.\n<voice type=upset>\nMeanwhile, more and more people have been complaining to me about <color=yellow>sleep issues</color>, weird headaches and concentration problems. \n<voice type=question>\nDo you also have those, sweetheart?
Dialogues/prepGuaranaLittle4	<voice type=upset>\nWell, since you mention it… Yes, it happens.
Dialogues/herbGuaranaLittle5	<voice type=disappointment>\nSee? Trust the old lady: it must be something in the air. And my usual herbal remedies don't seem to work as they should.\n<voice type=order>\nSo I think I need to step up a bit and try some new mixes. \n<color=yellow>Deeper</color> in the <color=yellow>woods</color>, there are some <color=yellow>guarana plants</color>. You'll know them for their <color=yellow>red fruits</color>. Hard to mistake for anything really.
Dialogues/prepGuaranaLittle6	<voice type=surprise>\n<color=yellow>Guarana</color>? Isn't it, like, an exotic plant?
Dialogues/herbGuaranaLittle7	<voice type=surprise>\nCrazy, right? I don't know where it came from, but apparently it feels at home in the woods of Murricaville County. \n<voice type=order>\nAnyways – bring me some <color=yellow>fruits</color> and I'll see if they work in my mixtures. 
Dialogues/prepGuaranaLittle8	<voice type=acceptance>\nOK then. Anything for good <color=yellow>herbal mixes</color>, right?
Dialogues/prepGuaranaMore1	<voice type=greeting>\nHello, Jenny. I reckon these are the fruits you were looking for?
Dialogues/herbGuaranaMore2	<voice type=thanks>\nCorrect! See them, Bob? So red! So ripe! Thank you so much!\n<voice type=disappointment>\nNow, my first teas with the mushrooms you brought from the mine turned out a mixed blessing.\n<voice type=laugh>\nThey did help my friends to stay awake, but also made them… a bit unfocused.
Dialogues/prepGuaranaMore3	Who would have thought.
Dialogues/herbGuaranaMore4	So for now, I'd stick to more tested ingredients. I need <color=yellow>more guarana fruits</color>. I'll grow some myself, but I don't have much space.\n<voice type=question>\nWould you be so kind to take some of these <color=yellow>seeds</color>, and start <color=yellow>growing</color> them too?
Dialogues/prepGuaranaMore5	<voice type=acceptance>\nI guess I can add them to my little indoor hobby plantation.
Dialogues/herbGuaranaMore6	<voice type=thanks>\nSplendid!  Please come back with a crop. Me and my friends will be grateful.
Dialogues/herbWreck1	<voice type=thanks>\nThank you very much for the fruits! By the way - you're blooming! 
Dialogues/prepWreck2	<voice type=surprise>\nReally?
Dialogues/herbWreck3	<voice type=laugh>\nWell… At least in comparison to the rest of the townsfolk. Do you also get the feeling they're somehow… wilted? 
Dialogues/prepWreck4	I'm not much of a people's person, but yes, they do look rather dull. Unlike you. Or Bob.\n<voice type=surprise>\nBy the way, do you know that a guy taking care of the mine is also named Bob?
Dialogues/herbWreck5	<voice type=question>\nYes, and you find it funny because…?
Dialogues/prepWreck6	<voice type=disappointment>\n…nevermind. 
Dialogues/herbWreck7	Anyway, I wanted to ask you for another favor. It's not plant-related this time.
Dialogues/prepWreck8	I'm shocked.
Dialogues/herbWreck9	<voice type=question>\nSo, do you know about the <color=yellow>plane crash</color> in the forest a few months ago?
Dialogues/prepWreck10	<voice type=negation>\nUhm… no. I must have been… away, I guess.
Dialogues/herbWreck11	You don't know much about the life of the town, do you? Anyway. A <color=yellow>plane</color> fell down one day.\n<voice type=surprise>\nLots of noise and smoke. And not a word about it in our local newspaper the days afterwards.\nIt happened <color=yellow>deep</color>, <color=yellow>deep</color> in the <color=yellow>forest</color>. The crash site is closed off by some ravines and <color=yellow>fallen tree trunks</color>.\nBut I'd like you to get there. I have a feeling the pilot was someone I know. And I'd like to check. \n<voice type=question>\nCould you find a way to get to the wreckage?\n<voice type=laugh>\nI'm sure you'll find some useful <color=yellow>items</color> and <color=yellow>materials</color> on the site.
Dialogues/prepWreck12	<voice type=acceptance>\nSounds interesting. I'll try.
Dialogues/bobElev1	Damn, it's no use again.\n<voice type=surprise>\nWait, who's there? Excuse me, this is a restricted area!\n
Dialogues/prepElev2	I'm sorry, I'm harmless! But… restricted by whom? The Agency? I haven't seen their signs.
Dialogues/bobElev3	<voice type=surprise>\nUhm… No, not the Agency. It's…\nWait. You look… different, from the rest of the townspeople, I mean.\n<voice type=question>\nYour eyes seem present. And you talk sense. Who are you?\n
Dialogues/prepElev4	People call me Prepper. I'm… an amateur constructor, you could say. \nI know this is a mine, and I'd like to get inside. \nI'm working for a local herbalist. I'm here to collect certain… organisms.\n
Dialogues/bobElev5	<voice type=surprise>\nOkay… a contructor, huh?\nI'm Bob: And here's my proposition: you do something that will be useful for both of us, and I will let you in.\nThis is an elevator that allows you to go to lower levels of the mine.\n<voice type=question>\nSounds great, right? Well, except that this junk has just broken again.\nFix it, and I'll let you into the mine.\n
Dialogues/prepElev6	<voice type=acceptance>\nAn elevator. I'll see what I can do. \nAnd I hope you're the friendly soul I've been told about.\n
Dialogues/bobElev7	Oh, I sure am!\nIf our cooperation works properly, I'll be friendly as hell.\n
Dialogues/prepWreckFound0	<voice type=surprise>\nWhat's that?
Dialogues/herbWreckFound1	<voice type=surprise>\nHey buttercup, you look like you've seen a ghost. \n<voice type=question>\nLet me guess: is that <color=yellow>you</color> in this photo?
Dialogues/prepWreckFound2	<voice type=upset>\nUhm… Yes… Apparently. How did you know?
Dialogues/herbWreckFound3	<voice type=laugh>\nOld lady's intuition. You look like someone trying to <color=yellow>escape</color>. I just connected the dots.
Dialogues/prepWreckFound4	<voice type=upset>\nI don't… I <color=yellow>don't remember</color>. Any of this. 
Dialogues/herbWreckFound5	<voice type=upset>\nHoney, you're not alone. Some people in the town don't remember entire decades. Some have trouble recognizing their friends.\n<voice type=order>\nAnd you at least have a plane crash to blame. 
Dialogues/prepWreckFound6	It's a military aircraft. \n<voice type=question>\nDoes it mean that I was… am… on their side? <color=yellow>One of them</color>?
Dialogues/herbWreckFound7	I don't know much about military things. What I know is that right now you don't seem much of a government type.\nBesides, I'm pretty sure it's them who shot you down. So, you were once one of them or not… Does it really matter now? \n<voice type=order>\nWhat matters is that you're a capable young lad. \n<voice type=laugh>\nAnd I'm sure you're coming up with a way of escaping with something <color=yellow>bigger</color> and <color=yellow>faster</color> as we speak.
Dialogues/prepWreckFound8	<voice type=upset>\n…
Dialogues/herbWreckFound9	Alright darling, I'll leave you to it. You know where to find me if you want to talk about plants, memories, and other things.
Dialogues/prepGuaranaMixture1	<voice type=greeting>\nHello, Jenny. And Bob.
Dialogues/herbGuaranaMixture2	<voice type=greeting>\nOh hello, buttercup! What brings you here?
Dialogues/prepGuaranaMixture3	<voice type=question>\nI was thinking… Do you have your <color=yellow>special mixture</color> with guarana ready? Could I get a portion?\nI'm planning to go… for a <color=yellow>long trip</color>. And I'd prefer <color=yellow>not to fall asleep</color> in the middle.
Dialogues/herbGuaranaMixture4	<voice type=laugh>\nAh, the <color=yellow>mixture</color> turned out quite well. Some of my friends already managed to pull an <color=yellow>all-nighter</color> thanks to it!\nBut here's the thing: the mixture takes up a lot of raw material resources. And we're already out after these few tests.\n<voice type=order>\nSo I'd need you to bring <color=yellow>more fruits</color>. We need enough for our needs and to make an extra portion for you.
Dialogues/prepGuaranaMixture5	I'm starting to suspect you have quite a bunch of those ‘friends'. But fine, I'll grow <color=yellow>more fruits</color> for you.
Dialogues/prepGuaranaDone1	<voice type=greeting>\nHi Jenny. And Bob. Here's the supply of fruits. It should be enough to keep the whole town awake.
Dialogues/herbGuaranaDone2	<voice type=laugh>\nTee-hee. What a funny idea!\n<voice type=thanks>\nThank you very much, young lad, I owe you!\n<voice type=acceptance>\nExpect the <color=yellow>delivery</color> in your <color=yellow>mailbox</color>. And have a good trip, buttercup!
Dialogues/prepGuaranaDone3	<voice type=thanks>\nThanks. Take care, Jenny!
Dialogues/prepGuaranaTooSoon1	<voice type=greeting>\nHi Jenny. And Bob. Here's the supply of fruits.
Dialogues/herbGuaranaTooSoon2	<voice type=thanks>\nThank you very much! It helps a lot!
Dialogues/prepGuaranaTooSoon3	<voice type=question>\nNow, when can I expect the <color=yellow>mixture</color>?
Dialogues/herbGuaranaTooSoon4	<voice type=upset>\nAh. See, buttercup, there's a small <color=yellow>problem</color>.\n<voice type=disappointment>\nI'm <color=yellow>not allowed</color> to give it to you just yet. I'm sorry, it's not really up to me.
Dialogues/prepGuaranaTooSoon5	<voice type=surprise>\nWhat?! What does it mean? And who's not allowing you, Bob?
Dialogues/herbGuaranaTooSoon6	<voice type=anger>\nDon't be disrespectful, young man. Bob has nothing to do with this. \nMy friends really need the mixture and they are not sure they can <color=yellow>trust you</color>.\nBut I'm sure you'll earn the <color=yellow>trust</color> soon enough. At the right moment, one of my friends will send you back to me.\n<voice type=upset>\nI'm sorry, buttercup.
Dialogues/prepGuaranaTooSoon7	<voice type=anger>\nI don't like this at all. We had a deal. I will come back.
Dialogues/prepGuaranaFinally1	<voice type=greeting>\nHey, Jenny. I'm back to pick up my <color=yellow>mixture</color>. Bob has sent me to you. I already know about the <color=yellow>Sleepless</color>.\nI had the feeling that all those strong stimulants are for something bigger than a Sunday knitting club.
Dialogues/herbGuaranaFinally2	<voice type=upset>\nApologies, buttercup. I couldn't tell you openly before, it would be risky to our cause..\n<voice type=acceptance>\nHere's the <color=yellow>mixture</color>. Good luck with your trip. 
Dialogues/prepGuaranaFinally3	<voice type=thanks>\nThank you. And I wish you folks many sleepless, subversive nights, if that's your thing.
Dialogues/herbTooSoonIncomplete	<voice type=upset>\nI'm not allowed to give it to you just yet. I'm sorry, it's not really up to me.
Dialogues/herbGenericIncompleteAlt0	<voice type=question>\nHave you done what I asked for?
Dialogues/herbGenericIncomplete0	<voice type=question>\nHey buttercup, do you have what I needed?
Dialogues/herbGenericIncomplete1	<voice type=disappointment>\nNo? Oh, that's a pity. Come back later then, me and Bob will be grateful.
Dialogues/bobJack1	<voice type=greeting>\nOh, hi Prepper! Sorry for leaving so soon last time, I needed to check something.\nMany thanks for repairing the elevator! It makes many things easier.\nAll electrical equipment seems to break easily these days.\nLike this radio. It doesn't ever turn on.\nHey, do you want it? I dont have any use out of it anyways. \n
Dialogues/bobJack1.1	Where's my radio? I swear it was here...\nI need to drink some tea.
Dialogues/bobJack1.2	Anyway...
Dialogues/bobJack1.5	There is also a phone on the wall, doesn't work either. You can take it if you want.\n
Dialogues/bobJack1.6	<voice type=question>\nNow, what brings you down here?
Dialogues/prepJack2	Let's say I'm here for some sightseeing.
Dialogues/bobJack3	<voice type=question>\nUhm, OK. While you're at it… Could you look around for my jacket? I lost it somewhere in the mine.\nIt's red and white. A bit dirty. It has… emotional value. And it's warm. Very important here.\n
Dialogues/prepJack4	Right. Sure. I'll be on the lookout and let you know.
Dialogues/bobJack5	Just… You should know you need to be careful lower from here. There are… certain organisms in the mine.\nLike, moving ones. Biting. Scratching. Dragging your helpless body into--\n
Dialogues/prepJack6	Okay, okay, enough. I'll be careful.
Dialogues/bobGlass1	<voice type=question>\nHello, Prepper! Can I ask you another favor?
Dialogues/prepGlass2	<voice type=order>\nShoot.
Dialogues/bobGlass3	I've been struggling with getting around the mine a little bit lately. At first I thought it's the usual, you know – things get blurry because of sleep issues and concentration problems. \nBut no, it seems it's just my eyesight getting bad.\nAnd since the… you know, the government change, we don't have an optician in town.\n<voice type=question>\nYou visit so many places. Could you find glasses for me?
Dialogues/prepGlass4	<voice type=acceptance>\nAll right. I'll see what I can do.
Dialogues/bobSleep1	Let me give you some advice.\nThere is dangerous on lower leves of this mine, too much hydrogen!\nSome industrial stuff from back then...\nSo I won't advice you going there.
Dialogues/bobSleep2	What are you doing here?
Dialogues/bobSleep3	I'll tel you but you first.
Dialogues/bobSleep4	Ok, fine!\nI'm boss of a secret organization called Sleepless.
Dialogues/bobSleep5	Welcome to our secret base.
Dialogues/prepBobGeneric1	<voice type=question>\nOh, so… Do you give names to all your plants?
Dialogues/herbBobGeneric2	<voice type=laugh>\nUhm. Sweetie, I'm a herbalist. I pick plants, dry them, chop them, cook them, squeeze them, burn them. Et cetera.\nSo no, I don't give names to all my plants.
Dialogues/prepBobGeneric3	<voice type=question>\nOkay. So… how is Bob special?
Dialogues/herbBobGeneric4	<voice type=order>\nWell, Bob is a friend. \nAnd please be kind to him. He's sensitive and has a good memory.
Dialogues/prepBobGeneric5	<voice type=greeting>\nOK. So… Nice to meet you, Bob.
Dialogues/herbBobGeneric6	<voice type=order>\nHe's pleased too! Don't mess it up.
Dialogues/prepBobGlasses1	<voice type=question>\nHello, Jenny and Bob. Could I ask you a favor?
Dialogues/herbBobGlasses2	<voice type=greeting>\nHello. We're all ears.
Dialogues/prepBobGlasses3	So, it's about the other Bob. You know, from the mine. The biped.\nHis sight is getting bad lately. He needs glasses to read. And tend to his mine, in general.\n<voice type=question>\nI was wondering… would Bob… I mean, Bob, would you be willing to give your glasses to Bob?
Dialogues/herbBobGlasses4	<voice type=question>\nI feel he is willing to help, a kind plant as he is. But… doesn't he still need them himself?
Dialogues/prepBobGlasses5	Uhm… I think… Bob doesn't have to use them anymore. He is growing so well, gets greener everyday. I'm sure his sight is already great.\nBecause of… you know… photosynthesis and stuff. 
Dialogues/herbBobGlasses6	<voice type=surprise>\nI think you're right! Bob will be fine without the glasses. And maybe it's time for a new look. Take them!
Dialogues/prepBobGlasses7	<voice type=thanks>\nThanks, Jenny! And Bob. You're a swell guy, Bob.
Dialogues/herbPicture1	See, that's me. I wasn't always an old lady – amazing, isn't it? \nAnd next to me, you can see my friend Mary. She was the one to drag me to my first demonstrations.\nShe still lives in Murricaville, by the way. She's now one of the “bless the President”, empty-eyed types. Doesn't recognize me anymore.\nThese were troubled, turbulent times. But today? I'd be glad to know what I actually fight against.\n
Dialogues/prepElevComplete1	<voice type=greeting>\nSo... That thing is positively ancient, but I got it up and running.
Dialogues/bobElevComplete2	<voice type=thanks>\nOh, amazing! Now if you'll excuse me... I have some very urgent things to check in the mine!
Dialogues/bobElevIncomplete1	 
Dialogues/bobJackIncomplete1	<voice type=question>\nOh hey, have you stumbled upon my jacket by any chance? Oh, too bad. Please don't forget about it, OK? 
Dialogues/bobJackComplete1	<voice type=thanks>\nHey Prepper. You have my jacket! Great! Oh man, I really need to wash it now. Was it in a very dangerous place?
Dialogues/prepJackComplete2	There were certain organisms around indeed, if that's what you're asking about.
Dialogues/bobJackComplete3	<voice type=acceptance>\nI see. Well, you deserve a reward. Here, in one of the pockets, there is a revolver.\nYou can take it. It may come in handy during your… sightseeing trips.\nIt's broken though. But I know a person who could be able to repair it. \nGo to the junkyard in the desert at night and you'll meet him.\nHe's also one of the… aware ones. But please mind that he has… some other issues.\n
Dialogues/prepJackComplete4	<voice type=thanks>\nLike we all do. Thanks for the gun and the advice.
Dialogues/bobJackComplete5	Like we all do. Take care.
Dialogues/bobGlassIncomplete1	<voice type=question>\nHey, Prepper, it's you! I don't see you bringing me my new glasses!\nDo you get it?
Dialogues/prepGlassIncomplete2	<voice type=laugh>\nAh. It was actually a bit funny! No, I don't have the glasses yet.
Dialogues/bobGlassIncomplete3	<voice type=order>\nPlease don't make me say another joke like this!
Dialogues/prepGlassComplete1	<voice type=greeting>\nHi, Bob. Here you are, I brought glasses for you!
Dialogues/bobGlassComplete2	<voice type=thanks>\nOh, wonderful! Let me try them right away!
Dialogues/prepGlassComplete3	Wow, you actually look similar to him!
Dialogues/bobGlassComplete4	<voice type=question>\n…To whom?
Dialogues/prepGlassComplete5	<voice type=question>\nOh, nevermind. Do the glasses help?
Dialogues/bobGlassComplete6	<voice type=thanks>\nYes, Prepper, thank you, you're the best!\nNow, I think you deserve to know something. But I hope you can keep a secret!\n
Dialogues/prepGlassComplete7	Sure! I can store it in an underground bunker.
Dialogues/bobGlassComplete8	<voice type=laugh>\nYou have a weird sense of humor, Mr. Prepper. Anyway, come, I need to show you something.
Dialogues/prepGlassComplete9	<voice type=acceptance>\nOh. This is quite a collection.
Dialogues/bobGlassComplete10	Now you understand the secrecy? I have always loved books and comics. Too much for my own good, it turned out.\nWhen the new government started implementing censorship laws, I didn't really believe they would act on them.\nUp to the day the Agency came into my house and confiscated all my books. Not all were “subversive”, as they say, but they took everything anyway.\nEverything — Civil War era pamphlets, Little Nemo, Jules Verne, pre-war Superman, Sylvia Plath.\nAnd then they took my job – I used to be a teacher, you know. But possession of subversive materials is bad influence on the youth.
Dialogues/prepGlassComplete11	But it seems the punishment didn't work well. You're a habitual offender.
Dialogues/bobGlassComplete12	True. Collecting is way harder now than it used to be. I managed to gather some wonders and curiousities though. \nAnd please don't ask me where I have the contemporary European comic strips from.\nPlease take a look if you want!\n
Dialogues/bobHydrogen1	Uhm, hey, Prepper… One more thing before you go.
Dialogues/prepHydrogen2	<voice type=question>\nYes?
Dialogues/bobHydrogen3	As you go on exploring the mine… Please be careful.\n<voice type=order>\nAnd under no circumstances, please don't go to the 5th level of the mine. It's way too dangerous. I myself never go there.\n
Dialogues/prepHydrogen4	<voice type=surprise>\nUhm, okay. Why is that?
Dialogues/bobHydrogen5	Before the government had abandoned the mine, they were doing some technology experiments here.\nBasically, they were using hydrogen-based mining explosives.\n
Dialogues/prepHydrogen6	<voice type=question>\nAnd how did it go?
Dialogues/bobHydrogen7	Not very well. But there is still a lot of hydrogen containers down there.\nPlease don't go there. You would risk blowing yourself up with the whole mine.\n
Dialogues/prepHydrogen8	<voice type=acceptance>\nOh, this sounds very dangerous indeed! I will keep well away from there.\n(Hydrogen, you say. That's interesting…)\n
Dialogues/bobSleepless1	<voice type=surprise>\nHey! It's you! What are you doing here?
Dialogues/prepSleepless2	<voice type=surprise>\nWhat are *you* doing here? You said you never went down here! And where does this door lead to?
Dialogues/bobSleepless3	<voice type=order>\nI asked the question first! And I'm the one who let you into the mine!
Dialogues/prepSleepless4	And I have repaired your damn elevator so you can come down here!
Dialogues/bobSleepless5	...
Dialogues/prepSleepless6	Okay. I'll tell you if you tell me.
Dialogues/bobSleepless7	Mmm. Fine. But you go first!
Dialogues/prepSleepless8	Ugh. Okay. So I was drawn here by your mention of hydrogen.
Dialogues/bobSleepless9	<voice type=surprise>\nWhat?! Why the hell would you?
Dialogues/prepSleepless10	So I have this small… crafting project. In my basement.\nI'm building a rocket to get out of here.\nAnd hydrogen could actually be useful as a fuel.
Dialogues/bobSleepless11	…\nYou're… Weirder than I thought, Prepper. \nOkay, so I guess it's the time for my part of the deal. But remember – not a word to anyone or people might die.\n<voice type=question>\nShall we get inside?
Dialogues/prepSleepless12	<voice type=surprise>\nOh my. I see you are not the only one coming down here.
Dialogues/bobSleepless13	No. There's more of us, and we call ourselves the Sleepless. We fight the mind control measures the government forces upon us. Ever noticed you will always fall asleep on 3 AM, no matter what? Ever noticed concentration problems? Headaches? Faulty memory?
Dialogues/prepSleepless14	Of course I have. The compulsory bedtime is driving me nuts.
Dialogues/bobSleepless15	        \nWe're sure it's the thing in the sky, the Brazen Serpent. Supposed to be protecting us, bless-the-president. But it's sending waves that mess with our brains. Making us complacent.\nWe're trying to overcome the 3 AM reset. We believe it's the key to mind control.
Dialogues/prepSleepless16	<voice type=question>\nAnd… how is it going so far?
Dialogues/bobSleepless17	Well, we have… preliminary successes. With the help of certain strong substances, some of us were able to stay awake through 3 AM.\nThose substances have some troublesome side effects though.
Dialogues/prepSleepless18	…And that's why you try them out in a den halfway to the centre of the Earth.
Dialogues/bobSleepless19	That and for keeping well away from the Agency.
Dialogues/prepSleepless20	Makes sense. And I think I know now where all the herbal teas go.
Dialogues/bobSleepless21	I know you have met Jenny already. We'll give her a green light to help you in case you're in need.\nYou're a peculiar man, Prepper, but I trust you.
Dialogues/prepSleepless22	Thanks. I'll get back to my things. Good luck with staying awake.
Dialogues/bobSleepless23	Doing our best.\nAnd oh, Prepper?\nPlease, please don't blow us all up with that hydrogen.
Dialogues/prepSleepless24	Please, please don't blow us all up with that hydrogen.
Dialogues/postRand1	<voice type=thanks>\nWhat a lovely weather today!
Dialogues/postRand2	<voice type=upset>\nA foul weather today. Or maybe it's just my mood?
Dialogues/postRand3	<voice type=upset>\nI had trouble falling asleep last night. I was watching the Brazen Serpent shining in the sky. Finally fell asleep around 3, I guess.
Dialogues/postRand4	I used to have more newspapers to carry around, but now people only read the Truth. Well, it's definitely better for my back.
Dialogues/postRand5	<voice type=acceptance>\nAlways clinks and clanks coming from your house, Mr. Prepper. It's good to keep yourself busy!
Dialogues/postRand6	<voice type=surprise>\nFunny, every day I pass a dog park, but I haven't seen a dog in quite a while.
Dialogues/postRand7	<voice type=disappointment>\nI remember we used to enjoy gondola lift rides through the forest on sunny Sundays, before the Plague. Somebody should bring the lift back to life.
Dialogues/postRand8	The rumour is that Mr. Johnson woke up in someone else's bed last Saturday. He swears he doesn't know how it happened. Mrs. Johnson is not having it!
Dialogues/postRand9	Ah, so many letters to deliver today.
Dialogues/postRand10	<voice type=greeting>\nGood morning, Mr. Prepper, there's mail for you again! You seem to have a lot of pen pals, that's nice.
Dialogues/postRand11	The building of the Agency looked busier than usual today. I wonder what that might mean.
Dialogues/postRand12	<voice type=greeting>\nYou've got mail!
Dialogues/postRand13	<voice type=question>\nUnreceived mail is piling up in the mailbox of Bob, the former teacher. Has he gone on a vacation or something?
Dialogues/postRand14	These days many people in the town just look at me empty-eyed when I bring them mail. People used to be more polite and respect the postal workers more.
Dialogues/postRand15	<voice type=anger>\nSome graffiti appeared around the town lately. Weird slogans on staying awake, clumsy drawings of eyes. Senseless vandalism if you ask me.
Dialogues/postRand16	<voice type=upset>\nIt used to be more lively here in the neighborhood.
Dialogues/postRand17	<voice type=question>\nHow are you, Mr. Prepper? This morning I took a wrong turn and lost my way. Funny, I must be getting old!
Dialogues/postRand18	<voice type=surprise>\nI've recently heard of wolves coming back to the forest outside town. Can you believe it?
Dialogues/postRand19	<voice type=question>\nDo you sometimes think that your letters travel further than you ever will?
Dialogues/postRand20	<voice type=greeting>\nMornin'! We have a new series of stamps! Exciting, isn't it? It's – yeah, you guessed it – our beloved President. His left profile this time.
Dialogues/postRand21	You know, Mr. Prepper, I also had these daily visits from the Agency some time ago, after I had done a small mistake at work. Be patient, they will get bored at one point.
Dialogues/postRand22	<voice type=greeting>\nGood morning, Mr. Prepper! I like that you're always up to something. Murricaville is a rather sleepy town these days.
Dialogues/postRand23	<voice type=greeting>\nHey Mr. Prepper! I hope you're dealing well with the shortages! It's always good to keep some emergency supplies in case the electricity goes out again.
Dialogues/postRand24	<voice type=question>\nWhat was I… ah, yes. The mail. Now I remember.
Dialogues/postRand25	<voice type=greeting>\nHello, Mr. Prepper! I hope you'll find only good news in the mail today!
Dialogues/introText	In the late 1970s, a new virus had emerged and soon spread all over the world. The pandemic had a specific scientific name, but people have remembered it simply as the Plague.\nSome governments handled it better, some worse. The US administration's catastrophic response led first to a change of government, and then a change of the whole political system.\nThe year is 1995. Life in the town of Murricaville is calm and happy. But apparently, not everyone is satisfied…\n
Dialogues/introClick	- press anything to continue -
Dialogues/prepPlanHidden	<voice type=laugh>\nIt would help to flip it first.
Dialogues/prepRocketReword	<voice type=thanks>\nNice timing.
Dialogues/introTextPrepper	Ever since the Plague and the change of government, this town has been unbearable. Lifeless. Filled only with boredom, propaganda, and control.\n\nI have tried to escape and I've failed, this time. But I'll find a way.\n\nThey call me Mr. Prepper...
Dialogues/introTextPrepper1	Ever since the Plague...
Dialogues/introTextPrepper2	...and the change of government,
Dialogues/introTextPrepper3	this town has been unbearable.
Dialogues/introTextPrepper4	Lifeless.
Dialogues/introTextPrepper5	Filled only with boredom, propaganda, and control.
Dialogues/introTextPrepper6	I have tried to escape and I've failed, this time.
Dialogues/introTextPrepper7	But I'll find a way.
Dialogues/introTextPrepper8	They call me...
Dialogues/introTextPrepper9	Mr. Prepper.
Dialogues/herbTools	Ah, why the face? Don't be afraid, these are just my gardening tools. \nBoth are for effective weeding. With proper tools and technique, you can uproot anything, be it a daisy or a thistle.\nAm I talking only about gardening now? Don't mind me, I'm just an old lady. \n
Dialogues/joeFirstMeeting1	<voice type=question>\nHey, who's there?
Dialogues/prepFirstMeeting2	<voice type=greeting>\nHello, I'm Prepper. I'm a friend… Bob has sent me here.
Dialogues/joeFirstMeeting3	<voice type=laugh>\nAh, Bob, that old rascal! What's he up to these days?
Dialogues/prepFirstMeeting4	He's tending to a mine. Minekeeping, if that's a thing.
Dialogues/joeFirstMeeting5	<voice type=acceptance>\nIt can be a thing if we want it to be a thing. And good that he stays in the mine!\nIt should be safe down there from chemtrails, the Hum, and the mind-controlling waves.
Dialogues/prepFirstMeeting6	Uh… Uhm… Okay. So, Bob has said that you were repairing guns, among other things. 
