# key	english
Items/RocketLauncher	Rocket Launcher
Items/BrazenSerpentModel	Brazen Serpent satellite model
Items/DesKeyBrazenSerpentModel	This is the small metal thing that causes all our problems. A satellite making us numb, docile, or violent.
Items/MindControlTool	Mind control tool
Items/DesKeyMindControlTool	A prototype of a simple mind control tool. Later the method of sending waves from great distances was devised.
Items/Scans	Brain scans and X-rays
Items/DesKeyScans	Brain scans and X-rays of dogs that were test subjects. Poor animals.
Items/MushroomSoupCan	Canned Mushroom Soup
Items/DesKeyMushroomSoupCan	Canned mushroom soup. It should last long.
Items/CucumberSoupCan	Canned Cucumber Soup
Items/DesKeyCucumberSoupCan	Canned cucumber soup. It should last long.
Items/TomatoSoupCan	Canned Tomato Soup
Items/DesKeyTomatoSoupCan	Canned tomato soup. It should last long.
Items/BeetSoupCan	Canned Beet Soup
Items/DesKeyBeetSoupCan	Canned beet soup. It should last long.
Items/CarrotSoupCan	Canned Carrot Soup
Items/DesKeyCarrotSoupCan	Canned carrot soup. It should last long.
Items/VegetableSoupCan	Canned Vegetable Soup
Items/DesKeyVegetableSoupCan	Canned vegetable soup. It should last long.
Items/ControlInstruction	Inspection Protocol
Items/DesKeyControlInstruction	A secret protocol for the house inspection used by the Agency.
Items/MinutLetterWaterControl	Minuteman's Letter: Water Control Warning
Items/DesKeyMinutLetterWaterControl	A letter from a stranger who calls himself "The Minuteman".
Items/MinutLetterElectricityControl	Minuteman's Letter: Electricity Control Warning
Items/DesKeyMinutLetterElectricityControl	A letter from a stranger who calls himself "The Minuteman".
Items/MinutLetterCupboardControl	Minuteman's Letter: Cupboard Control Warning
Items/DesKeyMinutLetterCupboardControl	A letter from a stranger who calls himself "The Minuteman".
Items/MinutLetterCupboardControl2	Minuteman's Letter: Cupboard Control Warning 2
Items/DesKeyMinutLetterCupboardControl2	A letter from a stranger who calls himself "The Minuteman".
Items/PlaneWreck	Crashed Plane
Items/DesKeyPlaneWreck	Military plane. Crashed. Looks oddly familiar.
Items/AlarmSwitch	Signal Switch
Items/DescAlarmSwitch	Activate it on the first floor to give the Sleepless the final signal. There is no turning back after that.
Items/DiscoSwitch	Disco Switch
Items/DescDiscoSwitch	Just for fun. Disco's not dead.
Items/Switch	Switch
Items/DescSwitch	Place it in a room to be able to turn everything inside it on or off. Great for power management.
Items/DesKeyCalendar	Keep track of days and important events.
Items/ArmyChest	Army Chest
Items/DesKeyArmyChest	It's a basic wooden chest stamped 'ARMY'. 
Items/Fabrics	Fabrics
Items/DesKeyFabrics	A good source of textiles.
Items/FortBox	Box
Items/DesKeyScraps	Scraps. Use them for crafting or sell to Joe.
Items/VendingMachine	Vending Machine
Items/RoomUpgradeBook2	Pump It Up: Useful Room Upgrades
Items/DesRoomUpgradeBook2	Learn how to make specific room upgrades: a pumphouse and a workshop.
Items/RoomUpgradeBook3	Mr. Freeze: More Useful Room Upgrades
Items/DesRoomUpgradeBook3	Learn how to make specific room upgrades: a powerhouse and a freezer.
Items/DescRocketLauncher	The final button to push.
Items/Hydrogen	Hydrogen
Items/DesKeyRocketPartHydrogen	Also known as rocket fuel. Depends who you ask.
Items/DesKeyAmo	Basic ammo. Good for revolvers and rifles.
Items/Irrigator	Irrigator
Items/DesKeyIrrigator	Fill it with water and it will automatically water all the plants in the room.
Items/Refueler	Refueler
Items/DesKeyRefueler	Fill it with fuel and it will automatically refuel all the generators in the room.
Items/bobHideoutPC	Bob's Computer
Items/bobHideoutPCDes	A top-notch information technology. Too bad nobody had invented a wider network for these things.
Items/bobHideoutBoard	Bob's Plan
Items/bobHideoutBoardDes	Post-it notes always make the interior look professional.
Items/bobHideoutSupPosters	Posters
Items/bobHideoutSupPostersDes	Apart from his books and comics, Bob has a collection of posters. It might be the most colorful place in whole Murricaville.
Items/bobHideoutBless	Bless the President
Items/bobSleeplessBasePosters	Posters
Items/bobSleeplessBasePillows	Mattresses
Items/bobSleeplessBaseContainers	Military chests
Items/bobSleeplessBaseChairs	Chairs
Items/SleeplessMember	Member of The Sleepless
Items/Jenny	Jenny
Items/Joe	Joe
Items/Jim	Jim
Items/Karen	Karen
Items/Kate	Kate
Items/Krystal	Crystal
Items/CowSkull	Cow Skull
Items/DescCowSkull	Horrific decorative piece.
Items/DeerSkull	Deer Skull
Items/DescDeerSkull	One of many trophies from Jenny's collection. Looks great on the wall.
Items/EradicatorPoster	Eradicator Poster
Items/DescEradicatorPoster	Electronic killer from future
Items/SheMamaPoster	She Mama Poster
Items/DescSheMamaPoster	A touch of fantasy world in your home
Items/SleeplessPoster	Sleepless Poster
Items/DescSleeplessPoster	They say that walls can have ears, but no one ever mentioned the eyes
Items/WallShelf	Wall Shelf
Items/DescWallShelf	Perfect shelf for displaying items
Items/RussianCarpet	Jenny's Vintage Carpet
Items/DescRussianCarpet	Special decorative carpet from Jenny's collection
Items/Chupakabra	Chupacabra
Items/JennyPhoto	Jenny's Photo
Items/Door	Passage
Items/RussianWallCarpet	Jenny's Wall Carpet
Items/DescRussianWallCarpet	Who said you can't put them on the wall?
Items/Dog	Dog
Items/DescDog	Domesticated canine, also known as "man's best friend". Surprisingly rare around Murricaville lately.\n
Items/DogDen	Dog's lair
Items/DescDogDen	A place to rest for your dog. The dog will use it no matter where you place it. Magic!
Items/DogFeederBowl	Dog bowl
Items/DesDogFeederBowl	A basic bowl for your dog.
Items/Milk1	Milk
Items/DescMilk1	Fresh organic milk. Tasty and nutritious.
Items/ChickenDen	Chicken coop
Items/DescChickenDen	A home for your chickens! Cozy, but gets loud sometimes.
Items/GoatDen	Goats shed
Items/DescGoatDen	A home for your goats! They can throw some wicked parties.
Items/CowDen	Cow stall
Items/DesCowDen	A small living quarter for a cow.
Items/CowFeeder	Cow feeder
Items/DesCowFeeder	Your cow can feed directly from it.
Items/BatDecoration	Bat decoration
Items/DescBatDecoration	Watch out, they can get entangled in your hair!
Items/AlienSkull	Alien skull
Items/DescAlienSkull	A depiction of a slightly scary, completely fictional extraterrestrial creature.
Items/PumpkinItem	Pumpkin
Items/DescPumpkinItem	The staple of the harvest/Halloween period. Coziness and metaphysical dread go very well together.
Items/Scarecrow	Spooky scarecrow
Items/DescScarecrow	Probably works better on you than on the birds.
Items/JackOLantern	Jack O'Lantern
Items/DescJackOLantern	A navigation aid for tormented souls and a perfect house decoration.
Items/SeedPumpkin	Pumpkin seeds
Items/DesSeedPumpkin	Use them to grow more of the nutritious vegetable.
Items/PumpkinSoup	Pumpkin Soup
Items/DesPumpkinSoup	Tasty, aromatic pumpkin soup.
Items/PumpkinSoupCan	Canned pumpkin soup 
Items/DesKeyPumpkinSoupCan	Canned pumpkin soup. It should last long.
Items/HalloweenFlyer	Halloween flyer
Items/DescHalloweenFlyer	Flyer with the info on the upcoming Halloween. Tacky, but somehow thrilling.
Items/CandyBlue	Candy
Items/DesCandyBlue	Yay, Halloween sweets! But do you remember where you got them from?
Items/CandyRed	Candy
Items/DesCandyRed	Yay, Halloween sweets! But do you remember where you got them from?
Items/GoatAnimal	Goat
Items/DesGoatAnimal	A basic goat breed. Can give you wool and milk.
Items/GoatBrown	Brown goat
Items/DesGoatBrown	This breed can give you much wool and much milk. Whatever floats your goat!
Items/GoatWhite	White goat
Items/DesGoatWhite	A goat breed popular in this region. It can give you much wool, but doesn't produce that much milk.
Items/ChickenAnimal	Chicken
Items/DesChickenAnimal	A basic kind of chicken, a farm animal widespread around the world, with a well-known brown plumage. Lays eggs.
Items/ChickenAnimalWhite	White chicken
Items/DesChickenAnimalWhite	A white breed of chicken. Lays eggs like a regular chicken. Its feathers can be gathered and sold.
Items/ChickenAnimalGray	Gray chicken
Items/DesChickenAnimalGray	A chicken breed with white feathers and a black pattern on them. It produces feathers quicker, but eggs slower than the regular breed.
Items/ChickenAnimalBlack	Black chicken
Items/DesChickenAnimalBlack	A black chicken, classy and meaning business. Quickest in laying eggs and reproducing. Can fetch a good price.
Items/RottenHey	Rotten hay
Items/BrokenFance	Broken fence
Items/FenceItem	Animals' Fence
Items/DesFenceItem	A fence with a gate, simple but stylish. It allows you to border a space dedicated to animals. They cannot go through. 
Items/BarnBackDoor	Barn door
Items/Will	Will
Items/WheatToCollect	Wild Wheat
Items/ChickenFeeder	Chickens' feeder
Items/DesChickenFeeder	A feeder to provide proper nutrition to your chickens. You can give them grain, corn, sunflower, and other seeds.
Items/GoatFeeder	Goats' feeder
Items/DesGoatFeeder	A feeder for goats. They can be fed with hay or any kind of vegetables.
Items/BrokenChickenHouse	Broken chicken coop
Items/DogeAnimal	Xeno
Items/DesDogeAnimal	Xeno, a good boy that found his home at Will's farm, but can also get attached to a different caretaker. He is versatile and very intelligent, and can show you a variety of useful skills as you befriend him more and more.
Items/CowBrown	Brown cow
Items/DesCowBrown	A brown cow breed. It's not as good in producing milk as other cow species, but it reproduces quicker than other breeds and can be used for high-quality meat. 
Items/CowSpotted	Spotted cow
Items/DesCowSpotted	A spotted cow. Makes you think of idyllic landscapes and also produces lots of milk.
Items/CowWhite	White cow
Items/DesCowWhite	A white cow breed, a basic, all-purpose breed.
Items/Hamster	Golden hamster
Items/DesHamster	A small hamster with a standard, golden coloration. Can produce a small amount of electricity in its hamster wheel.
Items/Hamster2	Golden-white-grey hamster
Items/DesHamster2	A medium-sized hamster with a mixed, golden-white-grey coloration. Can produce a medium amount of electricity in its hamster wheel.
Items/Hamster3	Grey hamster
Items/DesHamster3	A big, grey hamster. It's strong and can produce a big amount of electricity.
Items/HamsterCage	Basic hamster cage
Items/DesHamsterCage	A basic, plastic cage with a small house. Good place to live for up to three hamsters.
Items/HamsterCageBig	Large hamster cage
Items/DesHamsterCageBig	A big cage with two separate small houses. Decent living quarters for up to six hamsters.
Items/HamsterFeeder	Hamster cage with feeder
Items/DesHamsterFeeder	A hamster cage with a feeder included. The cute rodents can be fed with grain, vegetables, and seeds.
Items/HamsterGenerator	Hamster wheel generator
Items/DesHamsterGenerator	A hamster wheel plugged into a small electricity generator. An entertainment for your small pet and a clean source of energy for you. Don't forget to feed the hamsters!
Items/HamsterPipe	Hamster tubes
Items/DesHamsterPipe	A way to connect all hamster cages.
Items/ChickenBabyBlack	Black chick
Items/DesChickenBabyBlack	A baby form of a black chicken. Will turn adult several days after hatching.
Items/ChickenBabyGray	Grey chick
Items/DesChickenBabyGray	A baby form of a grey chicken. Will turn adult several days after hatching.
Items/ChickenBabyWhite	White chick
Items/DesChickenBabyWhite	A baby form of a white chicken. Will turn adult several days after hatching.
Items/ChickenBaby	Chick
Items/DesChickenBaby	A baby form of a chicken. Will turn adult several days after hatching.
Items/CowBabyBrown	Brown calf
Items/DesCowBabyBrown	A baby form of a brown cow. Will turn adult several days after being born.
Items/CowBabySpotted	Spotted calf
Items/DesCowBabySpotted	A baby form of a spotted cow. Will turn adult several days after being born.
Items/CowBabyWhite	White calf
Items/DesCowBabyWhite	A baby form of a white cow. Will turn adult several days after being born.
Items/GoatBaby	Goat kid
Items/DesGoatBaby	A baby form of a goat. Will turn adult several days after being born. Watch out! Kids run around more than adult goats.
Items/GoatBabyBrown	Brown goat kid
Items/DesGoatBabyBrown	A baby form of a brown goat. Will turn adult several days after being born. Watch out! Kids run around more than adult goats.
Items/GoatBabyWhite	White goat kid
Items/DesGoatBabyWhite	A baby form of a white goat. Will turn adult several days after being born. Watch out! Kids run around more than adult goats.
Items/Globe	Globe
Items/DesGlobe	An accurate model of our planet Earth. Shows you how much there is to see beyond Murricaville and our beloved country (bless the President).
Items/EarthDayFlatEarth	Square Earth poster
Items/DesEarthDayFlatEarth	Flat-earthers intend to show how the globularist propaganda fabricates data to ridicule the truth about the Flat Earth. This is, of course, a preposterous belief: the Earth is actually a cube. Embrace the truth and don't lose your edge!
Items/EarthDayHearth	Earth Day – heart poster
Items/DesEarthDayHearth	Show your love for the environment with this beautiful design. Printed on sustainable, recycled paper.
Items/EarthDayLeaf	Earth Day – leaf poster
Items/DesEarthDayLeaf	Go green with this minimalistic design celebrating Earth Day. Take a breath and feel thankful to the plants.
Items/EarthDayTurtle	Earth Day – turtle poster
Items/DesEarthDayTurtle	For this year's Earth Day, contemplate how our planet is like a giant turtle floating through space, carrying us all on its back... Wait, it's supposed to be a metaphor? Right?
Items/SuitJacketBlack	Suit Jacket - Black
Items/DesSuitJacketBlack	A timeless classic of men's fashion. Will give you a touch of professionalism and formality.
Items/SuitJacketBrown	Suit Jacket - Brown
Items/DesSuitJacketBrown	An idealistic literature teacher or a disgruntled detective? Perhaps simply a fashion-conscious prepper.
Items/SuitJacketYellow	Suit Jacket - Yellow
Items/DesSuitJacketYellow	A yellow suit jacket - because elegant doesn't have to mean dull.
Items/SuitPantsBlack	Suit Pants - Black
Items/DesSuitPantsBlack	Pants to go with a black suit jacket. But the Agency won't arrest you for mixing and matching.
Items/SuitPantsBrown	Suit Pants - Brown
Items/DesSuitPantsBrown	Pants to go with a brown suit jacket. But the Agency won't arrest you for mixing and matching.
Items/SuitPantsYellow	Suit Pants - Yellow
Items/DesSuitPantsYellow	Pants to go with a yellow suit jacket. But the Agency won't arrest you for mixing and matching.
Items/ElegantBootsBlack	Dress Shoes
Items/DesElegantBootsBlack	Dress shoes for a suit. A surefire style choice.
Items/TShirtSleepless	Sleepless T-shirt
Items/DesTShirtSleepless	Your secret organization is too secret for your liking? Deconspire it with style!
Items/TShirtUFO	UFO T-shirt
Items/DesTShirtUFO	Wanna be your victim, ready for abduction.
Items/TShirtBobPlant	Bob the Plant T-shirt
Items/DesTShirtBobPlant	Celebrating Bob, the coolest plant in Murricaville.
Items/TShirtPreppared	Prepared T-shirt
Items/DesTShirtPreppared	Sometimes you just see a piece of clothing that looks like designed specifically to you.
Items/TShirtNASARocket	FARSA T-shirt
Items/DesTShirtNASARocket	The Federal Aeronautics, Robotics & Space Administration doesn't have great achievements yet, but let's keep dreaming big.
Items/PilotJacketBrown	Pilot Jacket - Brown
Items/DesPilotJacketBrown	A stylish pilot jacket. Takes the breath away from your admirers. 
Items/PilotJacketBlack	Pilot Jacket - Black
Items/DesPilotJacketBlack	A stylish pilot jacket. Takes the breath away from your admirers. 
Items/RegularJacketBlack	Regular Jacket - Black
Items/DesRegularJacketBlack	Casual yet stylish. A safe fashion choice.
Items/HikingBootsBrown	Hiking Boots - Brown
Items/DesHikingBootsBrown	Sturdy boots for all the diverse climates of Murricaville County.
Items/HikingBootsBlack	Hiking Boots - Black
Items/DesHikingBootsBlack	Sturdy boots for all the diverse climates of Murricaville County.
Items/SneakersWhite	Sneakers - White
Items/DesSneakersWhite	Comfortable and youthful.
Items/SneakersBlack	Sneakers - Black
Items/DesSneakersBlack	Comfortable and youthful.
Items/SweatpantsBlack	Sweatpants - Black
Items/DesSweatpantsBlack	For when you need comfort, but also don't shy away from the striking, modern look.
Items/SweatpantsBlue	Sweatpants - Blue
Items/DesSweatpantsBlue	For when you need comfort, but also don't shy away from the striking, modern look.
Items/SweatpantsRed	Sweatpants - Red
Items/DesSweatpantsRed	For when you need comfort, but also don't shy away from the striking, modern look.
Items/CargoPantsBlack	Cargo Pants - Black
Items/DesCargoPantsBlack	Pants for practical, down-to-earth-preppers.
Items/CargoPantsRottenGreen	Cargo Pants - Olive Green
Items/DesCargoPantsRottenGreen	Pants for practical, down-to-earth-preppers.
Items/CargoPantsMoroKhaki	Cargo Pants - Camo
Items/DesCargoPantsMoroKhaki	Pants for practical, down-to-earth-preppers.
Items/RegularBlackJeans	Regular Black Jeans
Items/DesRegularBlackJeans	A slight modification of the tried and tested Mr. Prepper's attire.
Items/CapBob	Blue Baseball Cap
Items/DesCapBob	Inspired by the rebellious look of a certain mine keeper.
Items/CapBlackPrepper	Black Baseball Cap
Items/DesCapBlackPrepper	For people doing mindblowing things.
Items/CapAsh	Red Baseball Cap
Items/DesCapAsh	Tracking and hunting animals just somehow feels better in this cap.
Items/CowboyHatJoe	Brown Cowboy Hat
Items/DesCowboyHatJoe	Sometimes you just gotta channel your local conspiracy theorist.
Items/CowboyHatWhite	White Cowboy Hat
Items/DesCowboyHatWhite	Don't be shy, the world is probably ending anyway.
Items/BlackGlasses	Black Shades
Items/DesBlackGlasses	Mysterious.
Items/Glasses	Grey Shades
Items/DesGlasses	When you want to be mysterious, but you also want to see something.
Items/FishTemptationTechniques	Fish Luring Companion Guide
Items/DesFishTemptationTechniques	Get to know the intricacies of fish luring! With the help of knowledge from this book, the fish will come swarming to you.\n
Items/GroundbaitVirtuoso	Baits of Excellent Quality 
Items/DesGroundbaitVirtuoso	Learn the expert tips to catch the rarest of fish.
Items/MaintenanceOfTheFishermansEquipment	Fisherperson's Guide to Equipment Maintenance
Items/DesMaintenanceOfTheFishermansEquipment	Untangle all the lines, hooks, tackles and rods with this handy guide! It will surely help to keep your equipment in shape.
Items/CarAutopilotChip1	Car Autopilot AI Chip
Items/DesCarAutopilotChip1	Sit back and enjoy! Allows to upgrade the car with an autopilot function. Consumes a bit more fuel.
Items/CarAutopilotChip2	Solar Panels for Cars with AI Chip
Items/DesCarAutopilotChip2	Solar power! Adds solar panels to your car. With this upgrade, your autopilot will no longer use extra fuel.
Items/Reoiler	Oil Refiller
Items/DesReoiler	Automatically refills oil in the refinery.
Items/WolfFootprints	Animal pawprints
Items/Hole	Hole in the barn
Items/HumanFootprints	Human footprints
Items/MazeCube	A hay cube you can shoot at, color-coded. Is it used for a game of sorts?
Items/FishingBridge	Fishing pier
Items/Castle	Castle decoration
Items/DesCastle	Aquarium decoration item in the shape of castle. For when you want to achieve militant yet romantic style of your fish tank.
Items/Rocket	Rocket decoration
Items/DesRocket	Rocket decoration for your aquarium. Perhaps it will inspire one of your fish to dream of a world without rules and regulations.
Items/SmallRocks	Small rocks
Items/DesSmallRocks	Small decorative rocks for your aquarium. Fish love that stuff.
Items/Seaweed	Seaweed decoration
Items/DesSeaweed	Decorative seaweed for your aquarium. A timeless classic.
Items/Shell	Shell decoration
Items/DesShell	Decorative shell for your aquarium.
Items/Ship	Ship decoration
Items/DesShip	Decorative ship for your aquarium. Evokes feelings of greatness long lost.
Items/Starfish	Starfish decoration
Items/DesStarfish	Starfish-shaped aquarium decoration. Please don't break the arms, they probably won't grow back.
Items/AquaStick	Stick decoration
Items/DesAquaStick	A stick for your aquarium. Contributes to a more natural look.
Items/Volcano	Volcano decoration
Items/DesVolcano	Volcano decoration for your aquarium. For if you think your basement still lacks explosive things.
Items/BeesCareBook	Bees Care Book - To Bee or not to Bee
Items/DesBeesCareBook	This beginner's guide to beekeping will teach you how to build beehives and start your first apiary.
Items/ChickenCareBook	Chickens Care Book - How to Win the Game of Chicken
Items/DesChickenCareBook	Thanks to stellar advice contained in this book, you will be able to build top-notch chicken coops and feeders.
Items/CowCareBook	Cows Care Book - How to Become a Cowboy (or Cowgirl, or Cowperson)
Items/DesCowCareBook	This book will help you fulfill your dream about cattle farming, starting from preparing stalls and feeders for your herd.
Items/DogCareBook	Dogs Care Book - Making Your Dog Happy: A DIY Edition
Items/DesDogCareBook	Learn quickly and painlessly how to prepare a bowl and a lair for your best friend.
Items/GoatCareBook	Goats Care Book - Goat Luxury: Starter's Guide
Items/DesGoatCareBook	This book will instruct you on how to give your goats what they deserve, starting with their living quarters and feeders.
Items/HamsterCareBook	Hamsters Care Book - Hamster High Life
Items/DesHamsterCareBook	Learn how to raise the living standard of your favorite fluffy rodents! After reading, you will be able to make their cages and equip them with hamster wheels and systems of pipes.
Items/BlackBass	Black bass
Items/DesBlackBass	A classic American bass. You can keep it in your shelter if you have an aquarium room upgrade. Can be turned into fish fillets.
Items/StripedBass	Striped bass
Items/DesStripedBass	A stripped bass, a very tough fish. You can keep it in your shelter if you have an aquarium room upgrade. Can be turned into fish fillets.
Items/WhitePerch	White perch
Items/DesWhitePerch	White perch, a brave little fish. You can keep it in your shelter if you have an aquarium room upgrade. Can be turned into fish fillets.
Items/YellowPerch	Yellow perch
Items/DesYellowPerch	A pretty, colorful perch. You can keep it in your shelter if you have an aquarium room upgrade. Can be turned into fish fillets.
Items/BlackCatfish	Black catfish
Items/DesBlackCatfish	A common catfish, somewhat difficult to cook properly. You can keep it in your shelter if you have an aquarium room upgrade. Can be turned into fish fillets.
Items/BlueCatfish	Blue catfish
Items/DesBlueCatfish	A tough fish, you can feel proud of having it in your collection. You can keep it in your shelter if you have an aquarium room upgrade. Can be turned into fish fillets.
Items/Tigerfish	Tigerfish
Items/DesTigerfish	A true fighter, but it still can land in your aquarium. You can keep it in your shelter if you have an aquarium room upgrade. Can be turned into fish fillets.
Items/WhiteCatfish	White catfish
Items/DesWhiteCatfish	White catfish, a rare catch. You can keep it in your shelter if you have an aquarium room upgrade. Can be turned into fish fillets.
Items/EmeraldMinnow	Emerald minnow
Items/DesEmeraldMinnow	A very pretty, shiny fish. It can be held in an aquarium of any size. Filleting this fish will give you a great bait.
Items/GoldMinnow	Gold minnow
Items/DesGoldMinnow	A rare decorative fish. It can be held in an aquarium of any size. Filleting this fish will give you an excellent bait.
Items/SilverMinnow	Silver minnow
Items/DesSilverMinnow	A shiny, shimmering small fish. It can be held in an aquarium of any size. Filleting this fish will give you a good bait.
Items/WhiteMinnow	White minnow
Items/DesWhiteMinnow	White minnow, a common fish, popular in aquariums. It can be held in an aquarium of any size. Filleting this fish will give you a basic bait.
Items/PinkSalmon	Pink salmon
Items/DesPinkSalmon	A popular kind of salmon. You can keep it in your shelter if you have an aquarium room upgrade. Can be turned into fish fillets.
Items/RedSalmon	Red salmon
Items/DesRedSalmon	A red salmon, very intense both in looks and behavior. You can keep it in your shelter if you have an aquarium room upgrade. Can be turned into fish fillets.
Items/GoldTrout	Gold trout
Items/DesGoldTrout	A gold trout, very sought-after in the fishing community. You can keep it in your shelter if you have an aquarium room upgrade. Can be turned into fish fillets.
Items/RainbowTrout	Rainbow trout
Items/DesRainbowTrout	A very energetic and pretty fish.  You can keep it in your shelter if you have an aquarium room upgrade. Can be turned into fish fillets.
Items/Expert rod	Expert fishing rod
Items/DesExpert rod	A superb fishing rod. Allows you to catch any type of fish and is especially effective with salmons and trouts.
Items/Good rod	Good fishing rod
Items/DesGood rod	A decent fishing rod. It will allow you to catch pretty much anything, but it's best suitable for catching the middle-range fish.
Items/Old rod	Old fishing rod
Items/DesOld rod	It's not a cutting-edge fishing technology, but it's better than nothing. You'll be able to catch smaller fish with this, but don't get your hopes high for bigger and stronger ones.
Items/FBasicBait	Basic bait
Items/DesFBasicBait	A basic fish bait. It's a way to catch some unsophisticated fish, sure, but don't be surprised if you only pull out some trash.  
Items/FExelentBait	Excellent bait. 
Items/DesFExelentBait	A bait of excellent quality, the best around. It increases your chance for catching the rarest types of fish.
Items/FGoodBait	Good bait
Items/DesFGoodBait	A decent bait. It increases your chance for catching uncommon fish, like silver minnow, black bass, red salmon or white catfish.
Items/FGreatBait	Great bait
Items/DesFGreatBait	This great achievement of baiting technology will increase your chance of catching some rare types of fish, like emerald minnow, yellow perch, rainbow trout, or blue catfish.
Items/Anchois	Anchovies
Items/DesAnchois	A can of unorthodox anchovies (made of minnows). A snack with a strong and unusual taste.
Items/Bread	Bread
Items/DesBread	It's always good to learn how to bake your own bread when facing a long isolation. You can make it from flour and water.
Items/Cheese	Cheese
Items/DesCheese	No cheesy description here, just know you can make it out of milk.
Items/CheeseCake	Cheese cake
Items/DesCheeseCake	Just like the grannies of Murricaville used to bake.
Items/FarmBasicRecipies	How to Survive on a Farm: Beginner's Guide
Items/DesFarmBasicRecipies	This book will help teach how to make the most basic food out of farm products. Fried egg, cheese, grilled fish - this will all come easy.
Items/FarmCookBook	Seasoned Farmer's Cookbook
Items/DesFarmCookBook	Make the most of your farming life with this book of advanced recipes.
Items/FishSoup	Fish soup
Items/DesFishSoup	It is said that a fish likes to swim! In this case, cooked with an addition of carrots.
Items/FishSoupCan	Canned Fish Soup 
Items/DesFishSoupCan	Fish soup that will last very long.
Items/FriedEgg	Fried egg
Items/DesFriedEgg	A classic choice for a quick breakfast.
Items/Oatmeal	Oatmeal
Items/DesOatmeal	A simple but very nourishing meal out of milk and grains.
Items/PowderMilk	Powdered milk
Items/DesPowderMilk	Milk, but in a solid form! You can make it with a dryer.
Items/PreppersMilkShake	Prepper's Milkshake
Items/DesPreppersMilkShake	Your milkshake brings all the agents to the yard. This mix of powdered milk, water and dried berries will help you regenerate your preparedness.
Items/RoastedFish	Grilled fish
Items/DesRoastedFish	Grilled fish fillet, very tasty.
Items/QuestChicken1	Eartha the Chicken
Items/DesQuestChicken1	This is her life, what can you do?
Items/QuestChicken2	Gloria the Chicken
Items/DesQuestChicken2	She's got all her life to live.
Items/QuestChicken3	Adele the Chicken
Items/DesQuestChicken3	She was hatched and raised in a summer haze.
Items/QuestChicken4	Fiona the Chicken
Items/DesQuestChicken4	Fiona the Chicken is just there, every single night.
Items/QuestChicken5	Florence the Chicken
Items/DesQuestChicken5	She's just happy to be on the farm. Never let her go!
Items/QuestGoatAnimal1	Stevie the Goat
Items/DesQuestGoatAnimal1	She goes her own way
Items/QuestGoatAnimal2	Angelo the Goat
Items/DesQuestGoatAnimal2	Did he fall in love with an alien?
Items/QuestGoatAnimal3	Tom the Goat
Items/DesQuestGoatAnimal3	Can you hear me, Goat Tom? Sure he can.
Items/AgentLeg	Black piece of fabric
Items/DesAgentLeg	Black piece of fabric found stained with blood, found on the farm. Whom might it belong to?
Items/AnimalBand	Tracking band
Items/DesAnimalBand	A tracking band worn by goats and chickens from the farm.
Items/Beehive	Beehive
Items/DesBeehive	Housing and workplace for your bees. They will gather pollen from the flowers held in the same space as the beehive and produce honey.
Items/BeehiveBig	Big beehive
Items/DesBeehiveBig	Bigger beehive for more insects. The bees will produce more honey in shorter time.
Items/BrokenCamera	Broken camera
Items/DesBrokenCamera	Government surveillance camera taken out from the lake. Why would this area be observed?
Items/Collar	Dog's collar
Items/DesCollar	Dog's collar found in the wheat maze. Maybe it wants it back?
Items/DogCollar	Xeno's collar
Items/DesDogCollar	Xeno's collar, apparently left by him as he ran away. Was he unhappy here? Was he lacking anything? Will he return?
Items/FishFilet	Fish fillet
Items/DesFishFilet	Fish fillet. The bigger the fish, the more fillets you can make out of it.
Items/Flowers	Flowers
Items/DesFlowers	Can be sold or placed close to bees. Bees will produce honey out of them.
Items/GoatBomb	Goat bomb
Items/DesGoatBomb	Goat carcass with a bomb inside, an incredibly clever trap.
Items/Hey	Hay
Items/DesHey	An organic material that can serve both as food for some animals and a lining for their living quarters.
Items/Honey	Honey
Items/DesHoney	A sweet and tasty substance produced by bees. Provides some nutrition and regenerates you a bit. Can last for a very long time.
Items/LakeSign	Fish info board
Items/DesLakeSign	Educational info board about all the species of fish you can find and catch in the Murricaville area. Handy!
Items/DesMilk1	Fresh milk. Mildly nutritional and regenerates some preparedness. An important part of many recipes.
Items/QweenBee	Queen bee
Items/DesQweenBee	A queen is neccessary to establish a new beehive.
Items/RoomUpgradeAquarium	Room Upgrade -  Aquarium
Items/DesRoomUpgradeAquarium	Turn one of the rooms in your shelter into an aquarium. You can use your fish for food, but you can also add decorative items to the aquarium and give your underground shelter some underwater charm.
Items/Scizzors	Shears
Items/DesScizzors	Shears for shearing goats. Can be also used as a weapon.
Items/Seed Flower	Flower seeds
Items/DesSeed Flower	Plant those to grow flowers; they look pretty. They are also used by bees to produce honey.
Items/Seed Wheat	Wheat seeds
Items/DesSeed Wheat	The most popular grain in the world coming also to your shelter! You just need to plant it.
Items/TrackingDevice	Tracking device
Items/DesTrackingDevice	Tracking device from Joe. This will help you in finding missing animals.
Items/Wheat	Wheat
Items/DesWheat	Grain with many uses. The main food for some animals, such as goats and hamsters.
Items/MazeEntranceClosed	Closed
Items/RewardBox	Maze reward box
Items/MazeScreen	Maze Display
Items/LootBoxMaze	Maze Chest
Items/MazeCrateBox	Maze Crate
Items/WoodenWheel	Wooden Wheel
